#{"t_start": 1543938918.3002768, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,125,65.240226
4.0,265,79.090732
1.0,173,128.56503
0.0,127,136.106322
0.0,123,142.186426
0.0,127,149.594649
0.0,127,156.966932
1.0,152,165.757338
0.0,127,172.58624
1.0,173,181.134531
1.0,173,190.028644
0.0,129,196.222799
1.0,153,204.183845
2.0,223,216.01629
4.0,266,232.087914
1.0,173,240.382491
1.0,173,249.062938
2.0,205,261.686521
0.0,125,267.762644
1.0,172,276.815722
0.0,127,285.015325
3.0,227,297.004726
0.0,129,304.355335
0.0,127,310.957861
1.0,176,320.802567
1.0,153,328.703466
0.0,125,335.22759
0.0,127,342.125733
1.0,171,350.939536
4.0,275,365.120641
2.0,202,375.000036
4.0,301,391.940137
0.0,127,397.979973
2.0,224,411.59575
1.0,172,421.594561
1.0,157,431.766828
0.0,129,438.65514
1.0,157,447.405706
0.0,125,453.349123
2.0,198,465.101536
0.0,129,471.356093
3.0,270,486.947615
10.0,450,512.271477
5.0,347,531.961854
0.0,129,539.04529
1.0,173,548.407247
0.0,123,555.332896
0.0,125,562.045965
1.0,174,571.951745
2.0,224,583.017077
0.0,129,590.184654
1.0,155,599.350209
0.0,127,606.274458
0.0,129,613.16674
4.0,301,628.893134
0.0,125,635.973142
2.0,224,649.158932
0.0,127,655.934779
4.0,320,673.100404
0.0,127,680.032062
0.0,125,686.181324
3.0,252,699.034703
4.0,301,715.136898
3.0,250,729.989207
1.0,159,738.004556
0.0,127,744.368888
1.0,171,753.651252
3.0,230,765.636551
2.0,202,774.903371
1.0,157,783.067375
2.0,199,794.103582
2.0,202,805.632148
0.0,129,813.206594
2.0,200,825.101652
0.0,127,832.094006
0.0,127,838.815549
1.0,177,848.813021
0.0,125,854.457217
1.0,170,864.443902
0.0,127,870.855023
3.0,252,886.383333
0.0,127,893.042691
2.0,225,905.550027
3.0,274,920.795833
0.0,127,926.677458
0.0,129,933.330136
1.0,173,942.668963
0.0,125,949.362377
2.0,225,963.6002
3.0,273,979.58005
1.0,174,989.735168
0.0,127,996.929331
0.0,127,1003.933408
0.0,127,1011.495882
1.0,155,1019.737426
0.0,125,1027.628841
0.0,129,1034.643356
0.0,127,1041.308352
0.0,123,1048.38013
0.0,125,1055.311798
0.0,127,1061.874443
2.0,205,1073.410981
0.0,129,1080.730078
2.0,220,1093.322295
0.0,127,1100.423251
1.0,155,1108.422179
0.0,127,1115.458426
1.0,175,1125.20633
4.0,301,1141.117661
3.0,248,1154.12986
1.0,171,1162.960053
1.0,155,1171.493087
0.0,129,1178.022732
0.0,127,1184.401623
3.0,268,1201.300274
0.0,127,1207.233176
1.0,157,1215.408381
1.0,155,1222.789246
0.0,123,1229.596663
2.0,221,1242.371751
0.0,129,1249.960807
3.0,250,1263.275956
0.0,129,1270.134736
3.0,268,1284.586261
1.0,155,1292.590354
0.0,127,1299.17008
4.0,299,1315.15193
2.0,202,1326.811379
0.0,129,1333.050672
0.0,129,1339.414859
0.0,125,1345.22197
0.0,127,1352.307919
3.0,250,1365.703607
0.0,129,1372.263177
1.0,173,1380.899835
0.0,129,1388.295503
4.0,283,1403.316818
3.0,247,1415.140684
1.0,173,1423.832598
1.0,155,1431.817141
0.0,129,1438.167065
0.0,127,1445.300157
4.0,299,1462.31731
0.0,129,1470.072194
2.0,202,1479.581488
9.0,419,1503.450321
1.0,171,1512.568051
0.0,129,1519.107063
1.0,173,1527.88961
0.0,127,1534.168129
1.0,173,1544.3133
0.0,129,1550.671815
5.0,299,1569.038023
3.0,249,1582.934992
0.0,129,1588.802695
1.0,174,1598.124599
5.0,333,1615.652893
1.0,155,1623.886916
0.0,129,1630.14387
1.0,175,1640.227539
2.0,198,1650.472727
1.0,155,1659.731095
2.0,204,1670.468936
3.0,271,1685.867936
2.0,198,1697.167644
0.0,129,1703.485624
4.0,298,1719.100004
3.0,219,1730.346026
0.0,127,1737.3958
0.0,127,1743.771505
8.0,372,1764.702094
3.0,271,1782.373927
5.0,309,1801.160526
3.0,268,1815.855876
0.0,129,1822.451798
0.0,129,1829.009275
0.0,129,1835.389107
3.0,272,1849.845648
11.0,493,1876.132227
0.0,129,1883.431535
0.0,129,1890.597741
1.0,176,1900.013042
3.0,250,1915.078509
2.0,187,1923.880339
2.0,198,1934.330761
2.0,198,1944.980272
0.0,129,1951.7838
5.0,352,1971.325503
0.0,129,1978.749973
9.0,380,2001.557671
0.0,129,2007.923826
4.0,299,2024.458463
2.0,204,2035.774348
1.0,153,2043.902189
1.0,173,2053.929886
0.0,129,2061.205108
2.0,203,2072.077526
0.0,127,2077.980183
0.0,125,2083.612305
0.0,127,2090.648787
0.0,127,2097.283494
4.0,282,2112.886266
1.0,173,2121.371293
0.0,129,2128.190505
2.0,202,2138.279392
0.0,129,2144.343846
0.0,127,2150.320889
0.0,125,2156.468381
0.0,129,2163.061084
0.0,127,2169.74615
4.0,282,2186.169927
2.0,202,2197.529411
0.0,129,2204.947695
2.0,202,2216.673051
3.0,248,2230.797229
1.0,157,2239.408856
2.0,222,2251.254588
1.0,152,2258.759999
0.0,125,2265.678705
3.0,233,2278.081638
2.0,225,2290.189988
5.0,347,2308.003784
0.0,127,2313.777053
0.0,129,2319.598436
0.0,127,2325.577626
1.0,157,2333.431489
1.0,173,2342.75796
0.0,125,2349.192252
2.0,202,2360.425951
0.0,125,2366.652838
1.0,177,2375.956041
0.0,129,2381.81715
0.0,129,2389.568636
2.0,198,2400.665542
0.0,127,2406.731832
1.0,171,2415.470993
0.0,129,2421.845597
0.0,127,2428.012193
0.0,127,2434.888151
1.0,155,2443.010544
1.0,176,2453.294988
0.0,129,2459.560933
2.0,203,2471.9672
1.0,173,2481.12178
0.0,129,2487.965983
0.0,125,2494.436191
1.0,175,2503.231201
2.0,187,2513.369147
6.0,370,2535.461955
0.0,125,2542.150789
3.0,264,2557.765404
1.0,157,2566.142449
1.0,155,2574.398513
0.0,129,2581.398036
2.0,205,2592.718326
1.0,155,2600.836871
2.0,202,2613.718073
1.0,173,2623.287765
0.0,129,2630.190866
1.0,175,2641.543872
0.0,127,2648.335842
1.0,172,2657.172622
2.0,203,2669.241451
0.0,125,2676.114426
1.0,173,2684.668311
1.0,173,2695.047185
2.0,203,2706.766438
1.0,170,2715.471894
2.0,198,2726.153121
0.0,127,2732.752018
1.0,175,2741.78941
2.0,224,2753.123387
0.0,127,2759.695044
1.0,155,2769.674892
4.0,299,2786.677745
1.0,155,2794.63518
2.0,202,2805.946532
0.0,129,2813.803537
1.0,173,2823.531617
1.0,176,2833.273922
0.0,127,2840.720764
3.0,230,2854.441632
0.0,129,2861.066232
0.0,129,2866.873055
0.0,125,2874.100833
