episode_length,PMM:episode_rewards,policy_loss,fps,frames,epoch_idx,grad_norm,policy_entropy,advantage_norm,value_loss,P01:episode_rewards,P09:episode_rewards,explained_variance
179.21621621621622,1.3243243243243243,-0.01735332364405622,868,8000,1,14.193229748329234,1.2798834895342588,3.6747377022728323,0.4117650621312032,0.0,3.0,-6.568238897323608
178.70454545454547,1.2727272727272727,-0.0006071026797872036,869,16000,2,0.13222607215385118,1.3840011715888978,0.8371540159732104,0.008112663635583885,0.0,3.0,-0.7686471462249755
172.84,1.11,0.001432294097612612,889,24000,3,0.09471751706455142,1.3833244931697846,0.8306170933321119,0.007658739585467629,0.0,3.0,-0.7418641662597656
177.37,1.25,5.223132553510368e-05,906,32000,4,0.11227475445715505,1.3794564354419707,0.9712533234804869,0.009502683932732908,0.0,4.0,-0.19231723845005036
190.77,1.55,0.0009095295905717648,915,40000,5,0.11292148151841389,1.3772780799865723,0.9921950036287308,0.009929962113546935,0.0,4.0,-0.1865446937084198
187.45,1.48,-0.0010714902394101955,919,48000,6,0.1284922394047597,1.3657968521118165,0.9035772259347141,0.008858372473293913,0.0,4.1000000000000085,-1.000156084895134
193.88,1.72,0.0011567974372883327,926,56000,7,0.16426915665211855,1.379971307516098,1.039691737666726,0.010471884261896776,0.0,5.0,-0.2777549338340759
189.07,1.65,-0.0012710614543175326,930,64000,8,0.12533134415432112,1.3732920384407044,0.8823665189929306,0.008133888776546883,0.0,5.0,-0.31785176396369935
198.17,1.84,0.000805560169974342,936,72000,9,0.16916251025842466,1.3705931901931763,1.1416826118528842,0.012221766230504727,0.0,5.0,-0.07979068160057068
206.69,2.05,1.6564446268603207e-05,939,80000,10,0.15231933392558078,1.374301426410675,0.9504237038642168,0.009340285382932053,0.0,6.0,-0.26265115857124327
208.78,2.02,4.717496281955391e-05,942,88000,11,0.16178287411951348,1.3711696434020997,1.00115888081491,0.009553341570754128,0.0,5.0,-0.81967036485672
182.67,1.45,0.0016844589402899145,940,96000,12,0.13800619078283485,1.3772658050060271,0.7181636504083871,0.006935892873552802,0.0,3.0,-2.9579408073425295
177.96,1.33,0.0007771748909726739,943,104000,13,0.18088508773911155,1.3717986392974852,1.0275461726635695,0.010120517255854793,0.0,3.0,-0.17752808809280396
191.37,1.67,-0.0007046824258577544,942,112000,14,0.14623137909408535,1.3792718660831451,0.8080964206904173,0.0071881216383371796,0.0,4.0,-0.21916296780109407
180.02,1.38,0.00017233876686077566,942,120000,15,0.17191539653981228,1.3807286202907563,0.8668523256480694,0.008099800080563,0.0,3.0,-0.3209033966064453
171.17,1.11,-0.00013564532853706622,941,128000,16,0.1455767809333482,1.3760176336765289,0.7465253990516066,0.006345259760964836,0.0,3.0,-0.41254275023937226
175.76,1.22,0.00035183143365429714,942,136000,17,0.17761606014508932,1.3789778578281402,0.8603575563803315,0.008115236937064764,0.0,3.0,-0.5741383510828019
175.34,1.22,-0.0010574167987215332,941,144000,18,0.15772721441436438,1.3773297786712646,0.8237179243564605,0.006731958677391958,0.0,3.0,-0.22159812688827515
171.12,1.1,-0.0003105269465595484,941,152000,19,0.15694973258201056,1.3756552040576935,0.7424091587215662,0.0050383279152447355,0.0,3.0,-0.08109370708465576
175.21,1.15,0.00023620945983566344,942,160000,20,0.1676326347577618,1.3830150389671325,0.8012063258141279,0.006236132089579769,0.0,3.0,-0.6472279745340347
174.23,1.17,5.566979547438677e-05,942,168000,21,0.1707900546293675,1.378393440246582,0.7899797728657723,0.006198478968472045,0.0,3.0,-0.267688005566597
175.62,1.23,-0.0005168413660430815,942,176000,22,0.1721002958130468,1.3835993897914887,0.821103066727519,0.006308255721523892,0.0,3.0,-0.02093521237373352
