#{"t_start": 1542660579.9796383, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
3.0,249,5.297607
1.0,175,7.189989
1.0,176,9.236847
1.0,157,10.921343
2.0,184,13.022994
0.0,127,14.45286
3.0,230,17.098816
2.0,191,19.072934
1.0,173,20.846881
0.0,129,22.280945
0.0,127,23.894581
0.0,127,25.333607
1.0,173,27.764359
2.0,224,30.614246
0.0,123,32.070966
4.0,280,35.827541
0.0,129,37.493513
4.0,320,41.656685
0.0,127,43.083934
0.0,129,44.548457
1.0,157,46.339169
0.0,127,48.005451
1.0,157,49.760305
0.0,127,51.242842
0.0,127,52.697438
0.0,125,54.382526
1.0,157,56.186792
0.0,123,57.781021
0.0,125,59.276935
2.0,202,61.582459
0.0,129,63.181396
0.0,129,64.859443
2.0,184,67.114245
1.0,176,69.520267
1.0,171,71.794363
0.0,127,73.213403
2.0,198,75.914577
2.0,206,78.632029
1.0,153,80.330732
0.0,127,81.798789
4.0,299,85.267418
0.0,125,86.980418
2.0,198,89.955224
1.0,178,92.36691
1.0,175,94.681553
0.0,127,96.415951
5.0,352,100.54853
1.0,173,102.80571
1.0,178,104.949466
2.0,226,107.872734
1.0,175,110.216395
2.0,224,112.982017
4.0,315,116.991235
1.0,177,118.97587
0.0,127,120.561423
2.0,185,122.953092
2.0,203,125.373824
0.0,125,126.961214
5.0,308,131.139327
0.0,129,132.591175
4.0,299,136.552422
4.0,303,140.244501
0.0,127,141.891756
0.0,127,143.574927
0.0,125,145.119432
1.0,155,147.288206
0.0,129,149.017786
1.0,176,151.48666
0.0,129,153.002574
3.0,272,156.658836
11.0,478,162.62887
1.0,176,164.863523
1.0,157,166.777584
0.0,127,168.234935
6.0,359,173.096981
0.0,129,174.699857
0.0,129,176.151685
1.0,157,178.195362
0.0,129,179.66991
1.0,155,181.383519
3.0,250,184.773771
0.0,127,186.573336
1.0,173,188.453598
5.0,352,192.131706
0.0,127,193.401277
1.0,173,195.258902
1.0,155,197.322797
2.0,200,199.487205
2.0,188,201.478154
0.0,129,202.874523
0.0,129,204.297075
3.0,270,207.464376
0.0,127,208.873834
1.0,176,210.682117
0.0,127,211.941641
1.0,157,213.527742
1.0,157,215.467448
3.0,270,218.646509
1.0,177,220.623452
0.0,129,222.109425
3.0,252,224.644743
1.0,157,226.429307
1.0,157,228.540327
0.0,127,229.984291
1.0,153,232.187787
1.0,170,234.430344
1.0,173,236.303583
0.0,129,237.721189
1.0,178,239.743644
0.0,129,241.400307
5.0,352,246.185217
2.0,183,248.576934
0.0,129,250.131503
0.0,127,251.587583
0.0,129,253.025424
0.0,125,254.570924
1.0,155,256.354233
1.0,155,258.03544
0.0,125,259.388313
0.0,123,260.758802
2.0,203,262.984683
1.0,175,264.641742
3.0,270,267.895035
0.0,127,269.306217
0.0,129,270.907246
0.0,129,272.671577
2.0,190,274.778592
3.0,234,277.405953
0.0,129,278.909894
0.0,129,280.194073
1.0,175,282.032332
2.0,202,284.274372
0.0,129,286.033917
0.0,129,287.571338
0.0,125,288.997596
0.0,125,290.343092
1.0,174,292.567793
1.0,173,294.731781
0.0,127,296.048495
1.0,173,298.121448
0.0,129,299.626217
0.0,127,301.12898
4.0,299,305.162526
5.0,367,309.397291
1.0,170,311.590484
3.0,250,314.648246
1.0,174,316.658018
3.0,248,319.775916
1.0,155,321.587233
0.0,125,322.965099
0.0,127,324.817432
0.0,129,326.391285
0.0,125,327.825757
5.0,352,332.273687
0.0,127,333.838388
4.0,299,337.774067
0.0,125,339.364107
1.0,173,341.680442
2.0,181,344.077471
3.0,248,347.389162
2.0,200,349.59684
1.0,172,351.570209
0.0,127,352.950241
3.0,234,355.527827
0.0,127,356.959162
4.0,267,360.38937
0.0,129,361.758964
1.0,175,363.700372
0.0,127,365.196495
3.0,232,367.815819
0.0,129,369.038906
0.0,127,370.439309
0.0,125,371.708598
2.0,185,373.8638
2.0,222,376.626806
1.0,153,378.10929
0.0,127,379.645173
1.0,170,381.692047
1.0,173,384.067211
0.0,127,385.696639
0.0,127,387.312155
2.0,224,390.104569
1.0,153,391.655772
1.0,153,393.501442
2.0,201,396.22948
2.0,202,398.625293
