#{"t_start": 1543698235.6232998, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
3.0,232,67.502462
3.0,230,76.158508
2.0,202,100.058905
5.0,329,119.350017
3.0,252,132.090088
4.0,300,148.627114
0.0,127,154.448487
2.0,200,163.676664
2.0,223,175.196417
0.0,127,182.051507
0.0,127,188.19549
2.0,206,199.77505
1.0,174,208.427558
1.0,155,215.884844
0.0,129,221.971327
2.0,200,232.517257
0.0,125,238.955854
2.0,199,249.372975
0.0,125,256.097399
2.0,202,266.935085
5.0,351,285.990619
0.0,127,291.55049
2.0,202,301.004102
5.0,330,320.018943
2.0,204,329.914624
3.0,246,342.422305
2.0,220,354.670035
1.0,175,362.843394
2.0,202,374.750833
0.0,129,381.329423
2.0,200,391.385401
6.0,397,411.564036
5.0,350,430.279189
0.0,127,436.424679
9.0,404,459.46933
0.0,127,465.075119
0.0,129,470.881177
0.0,129,476.799495
5.0,352,493.789113
0.0,129,499.687522
13.0,457,522.059318
2.0,202,532.250925
0.0,125,538.4331
3.0,248,551.233285
2.0,202,560.852782
6.0,401,582.323875
0.0,129,588.663889
2.0,200,597.768182
0.0,127,603.896854
0.0,129,609.628906
0.0,129,616.125239
2.0,202,625.724236
2.0,202,635.807244
0.0,127,641.224708
2.0,198,651.512495
0.0,127,657.517339
9.0,404,677.797986
2.0,202,687.885076
0.0,127,693.76178
0.0,127,699.958243
2.0,200,710.507444
0.0,127,716.795522
1.0,175,725.367017
1.0,155,732.500342
0.0,129,737.902517
1.0,178,746.871934
0.0,125,752.719226
2.0,198,762.634312
0.0,127,768.049611
0.0,129,774.27421
3.0,248,786.427277
2.0,202,796.496484
0.0,129,802.541181
1.0,155,810.344249
0.0,129,816.452743
5.0,352,834.145212
2.0,200,844.442417
0.0,129,850.745847
1.0,155,860.78742
1.0,155,868.145142
0.0,125,873.793312
0.0,129,879.638046
2.0,202,889.478244
2.0,202,899.559836
13.0,459,922.516666
3.0,252,935.25896
0.0,127,941.621204
0.0,125,946.793529
3.0,248,960.583884
0.0,129,967.374285
3.0,228,979.199173
2.0,204,989.125952
6.0,378,1008.638437
3.0,228,1019.635738
5.0,346,1036.778159
2.0,202,1046.888844
0.0,125,1052.893777
0.0,127,1059.304874
2.0,200,1069.246223
3.0,228,1080.116245
0.0,127,1086.488356
0.0,125,1092.438155
2.0,198,1103.15177
2.0,200,1112.260999
4.0,277,1125.759601
0.0,129,1131.835185
4.0,276,1146.569878
2.0,202,1156.519271
5.0,350,1174.398995
11.0,480,1199.378725
3.0,247,1211.453802
0.0,129,1217.729409
1.0,177,1226.288667
0.0,127,1232.558385
0.0,127,1239.45084
0.0,129,1245.745388
0.0,125,1251.966975
0.0,125,1258.079463
0.0,129,1264.221092
2.0,206,1275.618101
5.0,352,1295.315793
0.0,127,1301.265858
1.0,159,1309.312969
0.0,129,1316.640853
2.0,200,1326.979712
1.0,151,1334.302214
0.0,127,1340.589499
0.0,129,1346.954836
9.0,404,1367.227674
2.0,202,1377.655291
9.0,382,1397.91315
10.0,450,1422.267977
2.0,200,1435.629594
0.0,125,1442.746878
4.0,297,1457.56181
5.0,352,1475.941885
3.0,230,1486.73646
4.0,302,1501.67891
0.0,127,1507.867129
0.0,129,1514.004748
0.0,127,1519.675298
3.0,235,1531.402903
0.0,129,1537.227155
0.0,129,1543.361098
1.0,155,1550.505372
1.0,155,1557.6826
4.0,297,1573.279405
1.0,176,1581.922314
8.0,498,1608.117205
1.0,157,1615.973079
1.0,155,1624.888573
2.0,201,1634.68227
3.0,252,1648.277064
1.0,157,1656.349462
11.0,455,1680.549677
5.0,349,1698.781709
0.0,127,1705.249094
5.0,293,1720.38392
0.0,129,1726.752948
0.0,129,1732.86031
7.0,397,1753.008903
6.0,384,1780.572233
1.0,157,1792.91293
2.0,187,1802.576807
2.0,187,1811.544616
1.0,175,1820.447914
4.0,321,1836.065658
1.0,176,1845.463594
2.0,200,1854.414484
6.0,359,1871.738082
7.0,420,1892.428796
6.0,397,1913.053463
11.0,478,1937.326718
4.0,319,1953.045599
1.0,157,1960.300276
1.0,153,1968.222506
0.0,129,1974.01009
5.0,372,1992.84446
0.0,129,1998.648079
0.0,125,2004.953377
5.0,319,2022.005299
3.0,218,2033.4509
2.0,206,2043.672266
1.0,172,2051.197483
9.0,401,2072.765357
5.0,351,2090.677105
1.0,155,2097.630588
5.0,329,2114.897402
7.0,445,2137.768014
4.0,297,2151.677724
3.0,246,2164.012149
11.0,479,2188.654623
1.0,171,2197.068255
4.0,259,2209.750328
7.0,450,2237.046372
4.0,297,2251.469902
4.0,267,2265.595339
3.0,236,2277.692865
9.0,404,2299.307971
0.0,129,2304.877098
6.0,382,2323.480405
2.0,185,2333.140707
1.0,155,2340.954341
8.0,279,2355.57478
2.0,206,2365.951375
2.0,185,2374.65292
2.0,183,2383.0339
8.0,283,2396.997509
7.0,250,2409.890287
12.0,321,2425.311751
1.0,175,2433.619466
12.0,320,2450.150762
2.0,222,2460.529957
2.0,199,2470.268886
2.0,192,2479.471465
1.0,155,2486.356875
10.0,450,2508.932479
4.0,262,2520.75749
0.0,127,2526.162766
3.0,234,2538.447997
7.0,380,2556.625236
3.0,216,2567.220676
16.0,586,2596.373986
4.0,264,2608.238884
9.0,425,2629.65929
11.0,271,2644.17095
11.0,480,2667.228449
