#{"t_start": 1542727526.1053746, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,202,8.409316
0.0,127,10.580851
0.0,127,12.724838
1.0,155,16.737403
1.0,155,19.320343
0.0,129,21.506098
2.0,206,25.479197
0.0,127,27.58895
0.0,125,29.58461
1.0,157,32.305165
1.0,174,35.593317
2.0,202,39.099703
0.0,127,41.291383
1.0,155,43.871181
0.0,129,46.175239
1.0,173,49.016441
0.0,127,51.234892
0.0,125,53.342215
2.0,222,57.467014
2.0,220,61.43357
3.0,228,65.59943
1.0,157,68.281713
4.0,299,73.706568
3.0,248,78.015081
0.0,129,80.10007
0.0,129,82.237975
1.0,173,85.408798
0.0,127,87.431976
2.0,202,90.939603
0.0,129,93.31391
3.0,270,98.337887
0.0,129,100.596949
2.0,223,104.889624
2.0,221,108.833006
0.0,129,111.023155
1.0,157,114.036719
2.0,199,117.81254
1.0,155,120.650623
4.0,260,125.406716
1.0,153,128.079495
0.0,127,130.266622
3.0,272,135.233121
0.0,127,137.385401
0.0,125,139.500191
2.0,200,143.262671
1.0,176,146.699975
2.0,198,150.42004
2.0,200,154.119485
0.0,129,156.323659
0.0,129,158.478972
5.0,329,164.661681
11.0,479,173.734534
0.0,125,175.767626
0.0,129,177.947863
2.0,200,181.533864
9.0,404,188.482859
0.0,127,190.815016
9.0,404,198.021526
4.0,297,203.312456
2.0,200,206.726455
0.0,127,209.080995
0.0,129,211.10633
0.0,129,213.289279
0.0,129,215.449115
6.0,398,222.658406
0.0,129,224.926026
0.0,129,227.137186
0.0,129,229.452962
0.0,127,231.565852
5.0,348,238.008514
0.0,125,239.988169
4.0,301,245.343487
0.0,129,247.672311
1.0,173,250.618583
0.0,125,252.658655
0.0,127,254.739134
0.0,129,257.149095
0.0,129,259.207762
2.0,200,262.647271
0.0,125,264.720933
0.0,127,267.065061
0.0,127,269.178163
9.0,401,276.556876
9.0,404,283.651927
2.0,202,287.226108
1.0,153,289.738506
0.0,127,291.831167
0.0,125,294.002606
0.0,127,296.04239
0.0,127,298.095613
0.0,127,300.240291
0.0,127,302.312851
0.0,129,304.695892
9.0,404,311.670029
2.0,202,315.281342
4.0,299,320.475503
2.0,198,323.882021
0.0,127,325.992315
0.0,129,328.264574
0.0,129,330.499212
0.0,127,332.937324
1.0,174,335.875648
0.0,129,338.059287
0.0,127,340.156156
10.0,431,348.035426
0.0,125,350.404048
0.0,127,352.552398
0.0,129,354.712451
0.0,129,356.897332
0.0,125,358.888533
0.0,129,361.233333
4.0,301,366.495878
9.0,404,373.95531
9.0,404,381.178526
0.0,125,383.349101
6.0,380,390.324419
5.0,350,396.587759
0.0,127,399.017778
0.0,127,401.172869
5.0,344,407.580964
10.0,433,415.406255
0.0,127,417.833878
1.0,157,420.460388
0.0,129,422.53557
1.0,173,425.559168
5.0,350,432.099642
2.0,208,435.753381
4.0,301,441.244034
2.0,200,444.683409
0.0,127,447.010751
5.0,350,453.30396
2.0,200,456.940286
0.0,127,459.054416
0.0,125,461.144218
0.0,127,463.135114
2.0,202,466.834523
2.0,202,470.278072
3.0,249,474.876671
0.0,125,476.996509
0.0,127,479.168776
1.0,175,482.118523
0.0,127,484.482332
2.0,202,487.850091
4.0,319,493.689372
5.0,328,499.607128
1.0,173,502.708011
0.0,127,504.897513
5.0,328,510.693812
9.0,404,518.029044
5.0,350,524.406983
1.0,173,527.207405
4.0,299,532.708617
2.0,202,536.260478
0.0,129,538.434487
0.0,129,540.749435
1.0,155,543.231119
0.0,125,545.361235
3.0,228,549.311913
1.0,155,551.989428
2.0,202,555.429451
4.0,297,560.757957
6.0,396,567.921486
10.0,453,576.222286
1.0,176,579.406395
3.0,248,583.737483
2.0,202,587.46212
3.0,246,591.641541
0.0,129,593.729376
1.0,155,596.495121
1.0,155,599.097545
10.0,453,607.411755
3.0,218,611.269893
1.0,175,614.190038
3.0,237,618.637444
2.0,183,621.821009
5.0,349,628.181058
1.0,175,631.102134
2.0,203,634.909471
2.0,198,638.212852
1.0,157,640.779752
11.0,480,649.646601
2.0,221,653.802108
0.0,127,655.834381
0.0,129,657.892491
3.0,230,661.81511
1.0,155,664.581558
5.0,344,670.555801
0.0,129,672.824694
0.0,127,674.889736
1.0,155,677.51009
4.0,297,682.885469
1.0,153,685.341618
0.0,129,687.617164
1.0,155,690.285227
4.0,297,695.61275
0.0,129,697.725077
1.0,153,700.473787
10.0,433,707.871126
0.0,127,710.146168
6.0,398,717.31136
3.0,230,721.410025
10.0,428,729.062013
2.0,222,732.752875
3.0,268,737.65027
1.0,170,740.507286
2.0,183,743.666431
4.0,319,749.421507
2.0,185,752.504532
3.0,246,757.078324
6.0,397,763.980469
5.0,350,770.445179
3.0,251,775.018595
5.0,326,780.700672
10.0,434,788.475489
2.0,202,791.90303
0.0,129,794.215327
5.0,332,800.017723
