#{"t_start": 1542653485.06209, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
5.0,351,7.508028
3.0,231,10.527424
3.0,212,12.919496
2.0,201,15.088336
0.0,127,16.682118
1.0,155,18.658095
4.0,286,22.196781
2.0,202,24.617825
0.0,125,26.222965
2.0,222,29.146619
0.0,127,30.68041
0.0,127,32.279048
0.0,127,33.743035
1.0,155,35.462093
1.0,173,37.641691
0.0,127,39.122017
0.0,129,40.693195
0.0,129,42.178048
2.0,226,45.067481
0.0,127,46.555934
1.0,175,48.70232
2.0,201,51.051931
0.0,125,52.346601
4.0,301,56.1065
2.0,228,58.928161
1.0,175,61.096535
1.0,175,63.190517
0.0,127,64.632217
0.0,129,66.136472
0.0,129,67.706831
0.0,127,69.166605
2.0,202,71.75466
1.0,175,74.214664
1.0,157,76.075114
2.0,204,78.569004
2.0,204,80.980411
0.0,127,82.666212
0.0,129,84.080863
5.0,336,88.342439
3.0,253,91.843292
2.0,205,94.429832
1.0,173,96.70568
6.0,382,101.069899
0.0,125,102.555562
3.0,268,105.834833
0.0,129,107.371501
0.0,129,108.881203
0.0,125,110.517862
5.0,350,114.774773
0.0,127,116.381944
0.0,129,117.908916
1.0,153,119.608711
0.0,129,120.795945
2.0,182,123.318267
4.0,297,127.091249
0.0,127,128.590513
3.0,246,131.874789
0.0,125,133.353306
2.0,202,135.680888
1.0,173,137.657089
1.0,177,139.744688
0.0,127,141.052204
0.0,127,142.703755
4.0,301,146.313478
1.0,155,148.090587
10.0,453,153.786494
0.0,129,155.488717
2.0,200,157.995246
4.0,299,161.58337
9.0,382,165.752371
2.0,200,168.400057
0.0,129,169.929343
2.0,200,172.16391
0.0,125,173.423308
10.0,434,178.945726
3.0,250,181.717514
9.0,404,186.898843
2.0,200,189.440608
0.0,129,191.062559
0.0,125,192.823885
0.0,129,194.403239
2.0,202,196.805908
2.0,202,199.393265
9.0,404,204.116504
0.0,129,205.426349
0.0,127,207.359139
9.0,404,212.690403
0.0,127,214.366406
0.0,129,215.791041
9.0,404,220.399245
0.0,129,221.912648
0.0,129,223.442941
4.0,297,227.635133
0.0,127,229.433117
6.0,399,234.714189
0.0,127,236.10605
0.0,127,237.646168
5.0,350,241.984845
3.0,270,245.529682
2.0,198,247.750796
5.0,350,251.611433
2.0,224,254.454024
0.0,125,255.731141
0.0,129,257.253128
0.0,129,259.017315
2.0,202,261.554038
2.0,198,264.00706
0.0,129,265.485243
3.0,248,268.628213
0.0,125,270.190325
5.0,352,274.755993
0.0,127,276.216092
10.0,451,281.542409
5.0,350,286.091187
0.0,127,287.366452
0.0,129,289.194789
4.0,279,292.809722
0.0,129,294.362712
9.0,404,299.329279
0.0,129,300.853104
0.0,127,302.095488
0.0,129,303.383605
9.0,404,308.184507
0.0,125,309.634861
0.0,125,311.126938
2.0,198,313.806884
0.0,123,315.408945
4.0,297,319.247462
0.0,125,320.556739
9.0,404,325.92234
4.0,297,329.591982
1.0,173,331.59411
1.0,173,333.858608
0.0,127,335.327753
3.0,271,338.357522
0.0,127,339.69692
2.0,198,341.755982
2.0,200,344.076252
1.0,173,346.104281
4.0,299,349.265893
0.0,123,350.879741
3.0,248,353.695432
2.0,200,355.836983
2.0,202,358.456288
14.0,508,364.722444
2.0,220,367.533614
1.0,173,369.674958
3.0,236,372.321137
1.0,155,374.053781
11.0,522,380.423692
0.0,127,381.849444
1.0,155,383.586205
0.0,125,385.015245
6.0,396,390.002642
10.0,418,395.606858
2.0,203,397.772331
0.0,127,399.150165
1.0,173,401.459571
0.0,129,402.963215
9.0,403,407.755718
4.0,265,410.838973
4.0,276,414.223435
3.0,225,416.956316
1.0,176,418.85832
0.0,129,420.415112
1.0,153,422.075179
5.0,347,426.025908
4.0,302,429.240503
0.0,129,430.602196
5.0,350,434.65326
4.0,297,438.093838
1.0,174,440.009786
2.0,203,442.352615
11.0,502,448.373859
5.0,350,452.150009
7.0,388,456.620868
9.0,405,461.339529
2.0,202,463.943913
2.0,223,466.465001
1.0,175,468.192285
2.0,202,470.411763
1.0,178,472.260412
2.0,185,474.21231
11.0,487,479.527227
2.0,205,482.001671
2.0,206,484.339935
4.0,303,487.864116
5.0,350,492.186813
10.0,450,497.118778
11.0,477,502.603664
0.0,125,504.081029
3.0,233,506.480069
3.0,229,508.766019
5.0,345,512.301716
2.0,185,514.239083
4.0,279,517.265014
2.0,202,519.226067
8.0,460,524.117112
0.0,129,525.377325
7.0,431,529.76602
3.0,254,532.608513
11.0,562,538.98664
0.0,129,540.534981
0.0,129,541.889853
4.0,285,545.496899
4.0,278,548.369059
