#{"t_start": 1541704673.0192108, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
7.0,326,9.030943
2.0,199,13.463219
0.0,127,16.413678
0.0,127,19.082262
2.0,202,23.430465
7.0,270,29.775842
1.0,175,33.691608
2.0,201,38.280458
2.0,203,42.727526
1.0,154,46.138176
1.0,173,50.118853
10.0,428,59.917481
0.0,129,62.960607
1.0,175,66.882624
3.0,230,72.037993
1.0,173,76.067987
2.0,201,80.232194
0.0,129,82.950006
0.0,125,85.579679
0.0,129,88.472035
2.0,203,93.080148
2.0,202,97.620849
2.0,203,102.278028
1.0,156,105.618055
7.0,324,112.893222
5.0,349,120.649436
4.0,299,127.612201
3.0,246,133.276286
5.0,327,140.957755
0.0,129,143.727289
2.0,226,149.040321
0.0,129,152.010194
4.0,278,158.346489
0.0,127,161.435066
3.0,249,166.99492
3.0,230,172.298356
5.0,352,180.403534
0.0,129,183.321181
0.0,129,186.036168
4.0,271,192.030046
1.0,178,195.904065
3.0,274,202.033846
2.0,198,206.27573
1.0,175,210.261555
5.0,287,216.409463
2.0,223,221.759543
1.0,157,225.210239
0.0,125,227.841372
4.0,299,234.77097
1.0,173,238.615215
11.0,500,250.00737
5.0,352,258.116441
0.0,129,260.844016
0.0,127,263.452388
3.0,232,268.679038
1.0,153,271.988914
7.0,326,279.414977
0.0,123,282.060463
0.0,125,284.813882
1.0,157,288.228357
1.0,176,292.462525
3.0,250,298.260068
2.0,204,302.784735
1.0,174,306.731221
1.0,175,310.527039
0.0,127,313.379932
2.0,202,318.115654
1.0,173,321.936128
0.0,127,324.578327
0.0,129,327.549463
1.0,155,330.879107
3.0,272,336.91136
3.0,248,342.571255
0.0,129,345.208684
4.0,271,351.260493
4.0,300,357.834442
4.0,280,364.178289
2.0,200,368.543018
5.0,352,376.446738
6.0,384,384.979605
0.0,125,387.810402
2.0,198,392.339447
0.0,129,395.094678
6.0,362,403.211299
0.0,129,405.855583
5.0,350,414.18074
0.0,129,416.831603
0.0,129,419.495624
1.0,173,423.390369
2.0,187,427.282003
1.0,174,430.943588
0.0,129,433.694287
0.0,127,436.307053
4.0,297,442.735569
0.0,127,445.426404
9.0,404,454.32998
0.0,127,457.214116
0.0,127,459.892447
1.0,158,463.404829
0.0,127,466.100031
0.0,127,468.738242
0.0,129,471.525295
0.0,127,474.272297
0.0,125,476.88129
1.0,171,480.504024
0.0,129,483.331811
0.0,129,485.866943
0.0,129,488.377863
7.0,446,498.209723
2.0,202,502.698206
0.0,127,505.45663
0.0,127,507.993798
11.0,501,519.637872
0.0,125,522.088812
5.0,352,529.793966
2.0,202,533.98429
10.0,431,543.551687
2.0,202,548.057653
0.0,127,550.95769
0.0,127,553.641072
0.0,129,556.41725
0.0,129,559.169207
0.0,127,561.884889
2.0,202,566.086158
0.0,127,568.629252
0.0,129,571.2844
0.0,125,574.108888
0.0,125,576.580559
0.0,129,579.324934
0.0,125,581.827477
0.0,125,584.447132
0.0,129,587.355581
0.0,127,589.875235
7.0,409,598.805384
0.0,127,601.217776
0.0,129,603.877956
0.0,127,606.447289
0.0,129,609.302695
4.0,300,615.833202
2.0,202,620.533303
10.0,471,631.129201
0.0,127,633.875865
0.0,129,636.372973
9.0,382,644.747175
2.0,223,649.432292
0.0,129,652.125496
5.0,350,660.062286
2.0,202,664.373565
0.0,129,667.385867
0.0,127,670.060466
0.0,129,672.746275
2.0,202,676.983701
6.0,379,685.530564
0.0,129,688.308562
1.0,177,692.203912
0.0,129,694.782338
5.0,350,702.592842
2.0,202,706.631953
2.0,202,710.793935
0.0,125,713.315658
0.0,129,715.979192
3.0,271,721.748797
2.0,206,726.485541
0.0,127,729.107395
1.0,157,732.412051
0.0,129,735.044039
3.0,248,740.577614
4.0,297,746.649567
0.0,129,749.397505
0.0,127,752.073292
1.0,155,755.269222
10.0,450,765.192574
9.0,404,774.220515
12.0,431,783.887099
0.0,129,786.490683
0.0,129,789.112739
9.0,404,798.179432
0.0,129,800.69628
6.0,379,808.975586
2.0,202,813.110893
0.0,125,815.65629
3.0,248,821.170148
2.0,203,825.390309
1.0,175,829.237155
0.0,129,831.95928
0.0,127,834.629813
5.0,348,842.716431
2.0,224,847.562968
1.0,173,851.051964
2.0,198,855.490358
4.0,278,861.42272
2.0,200,865.724826
4.0,297,871.999851
1.0,174,875.806407
5.0,343,883.170411
1.0,155,886.726334
0.0,129,889.256741
2.0,200,893.42228
0.0,129,895.896672
4.0,260,901.72133
2.0,186,905.68886
1.0,155,909.000797
2.0,203,913.172445
0.0,127,915.684718
5.0,372,923.940772
0.0,129,926.50693
3.0,230,931.493744
4.0,299,937.985666
6.0,396,946.840909
0.0,129,949.473199
4.0,299,955.937181
4.0,319,962.832089
2.0,204,967.230623
3.0,248,972.458919
0.0,127,974.865404
4.0,321,981.971518
3.0,268,987.443378
1.0,175,991.345894
4.0,298,997.589692
3.0,253,1003.183719
0.0,125,1005.766044
0.0,125,1008.21575
5.0,350,1015.878046
3.0,226,1020.772154
0.0,125,1023.340322
3.0,218,1027.908058
0.0,127,1030.3731
4.0,300,1036.906997
4.0,299,1043.218153
3.0,228,1048.307741
0.0,127,1050.804623
1.0,159,1054.041809
9.0,382,1062.669346
2.0,202,1066.870384
10.0,433,1076.296064
1.0,157,1079.723095
0.0,129,1082.373109
1.0,175,1086.092478
3.0,250,1091.63394
2.0,200,1095.892269
0.0,127,1098.364482
2.0,206,1102.621004
3.0,231,1107.516149
2.0,229,1112.370528
0.0,127,1115.124858
0.0,125,1117.58711
0.0,129,1120.069556
9.0,404,1128.891953
0.0,127,1131.398604
1.0,153,1134.50392
2.0,204,1138.586493
2.0,183,1142.231586
0.0,129,1144.85808
2.0,200,1149.287429
6.0,419,1158.082611
10.0,451,1167.746122
6.0,395,1176.195012
0.0,127,1178.706716
5.0,372,1186.857551
3.0,252,1192.270979
1.0,170,1195.710144
1.0,177,1199.253956
2.0,200,1203.574012
2.0,201,1207.609154
0.0,127,1210.214506
2.0,224,1215.199578
4.0,299,1221.551023
2.0,188,1225.762586
0.0,127,1228.218921
2.0,183,1231.888803
5.0,313,1238.591162
3.0,216,1243.041137
2.0,199,1247.211857
1.0,157,1250.575642
1.0,155,1253.770201
2.0,183,1257.711393
0.0,129,1260.37276
6.0,380,1268.346126
0.0,129,1271.027866
8.0,429,1280.00371
3.0,228,1284.692746
0.0,129,1287.171885
1.0,155,1290.450534
2.0,182,1294.437408
2.0,183,1298.291878
9.0,404,1307.10236
9.0,526,1318.5802
3.0,251,1323.932661
3.0,216,1328.786613
1.0,157,1332.106557
7.0,354,1339.986836
1.0,152,1343.119029
1.0,176,1346.758821
4.0,297,1353.023905
10.0,450,1362.958066
1.0,177,1366.614481
5.0,330,1373.848202
4.0,280,1379.638458
2.0,223,1384.178597
2.0,188,1387.969617
11.0,600,1400.75896
3.0,230,1405.587296
4.0,283,1411.568668
4.0,297,1417.984407
2.0,224,1422.413899
3.0,235,1427.456205
10.0,432,1436.4306
2.0,182,1440.168001
1.0,155,1443.236277
7.0,365,1450.792731
3.0,230,1455.363645
7.0,406,1463.873457
3.0,236,1468.686627
3.0,252,1474.147294
3.0,270,1479.503746
3.0,229,1484.397599
2.0,185,1488.209213
5.0,291,1494.234259
7.0,411,1502.475061
6.0,376,1510.275914
3.0,252,1515.451805
4.0,298,1521.489634
7.0,389,1529.320053
6.0,399,1537.720878
7.0,395,1545.674326
8.0,295,1551.852423
7.0,391,1559.829261
