#{"t_start": 1544021292.1496038, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,127,93.825433
2.0,185,106.541558
0.0,125,116.762023
3.0,233,148.501024
0.0,127,155.31449
3.0,231,170.356415
3.0,255,184.238227
2.0,204,201.847831
1.0,173,214.250119
1.0,173,225.394662
0.0,127,232.690748
6.0,425,268.66908
0.0,129,277.659212
2.0,202,292.406031
1.0,176,302.66413
2.0,200,315.17218
0.0,127,323.888754
3.0,233,338.962554
7.0,325,368.211319
2.0,224,382.185447
1.0,176,395.405336
0.0,127,404.808377
0.0,127,412.061113
0.0,129,422.847061
2.0,202,436.002788
3.0,248,450.515513
0.0,127,457.939367
1.0,155,469.904792
0.0,127,483.545384
1.0,176,494.100082
4.0,282,512.006739
3.0,248,527.404057
0.0,127,534.756425
2.0,202,550.345752
0.0,127,556.698749
1.0,171,566.626961
2.0,200,580.998032
0.0,127,589.106571
2.0,224,606.632005
0.0,127,614.145191
0.0,127,621.737119
4.0,299,651.437655
0.0,127,658.915272
0.0,129,666.898856
2.0,202,678.550018
2.0,200,690.363267
2.0,200,703.027633
2.0,200,718.097155
3.0,246,736.107127
5.0,352,763.080148
0.0,125,771.538961
0.0,127,780.702528
5.0,350,801.535317
7.0,433,831.891
9.0,404,861.959104
0.0,127,872.295238
9.0,404,899.325631
0.0,125,907.099587
0.0,129,915.547573
2.0,202,925.767163
0.0,129,933.291902
10.0,433,963.788546
0.0,129,972.597666
5.0,329,993.861434
4.0,297,1017.03249
2.0,202,1029.823113
0.0,127,1038.194334
2.0,200,1050.388496
0.0,129,1058.849522
0.0,129,1067.993942
2.0,202,1082.040364
0.0,127,1091.374282
0.0,127,1099.853253
0.0,127,1107.517323
10.0,431,1137.825983
0.0,129,1146.701784
0.0,125,1155.300944
0.0,127,1164.013769
0.0,127,1172.420728
2.0,198,1186.054409
5.0,350,1209.754489
2.0,222,1223.459196
1.0,173,1233.054371
2.0,202,1246.976096
0.0,127,1256.810589
6.0,392,1283.110676
0.0,127,1290.642455
5.0,350,1314.314361
2.0,202,1328.301801
4.0,299,1347.955186
0.0,129,1356.697223
1.0,155,1365.237739
2.0,202,1381.113932
0.0,129,1388.663563
4.0,297,1407.169346
5.0,350,1435.567546
0.0,129,1443.989103
9.0,404,1473.662322
2.0,185,1486.741938
9.0,404,1515.185235
0.0,127,1523.77042
2.0,202,1539.176948
1.0,155,1550.11861
6.0,401,1578.009697
0.0,125,1587.158328
0.0,129,1595.110423
1.0,155,1603.660433
0.0,129,1610.101379
0.0,127,1617.186213
0.0,129,1624.287829
0.0,127,1632.275818
2.0,202,1646.640299
0.0,129,1656.723516
6.0,414,1684.856301
7.0,427,1715.629952
8.0,372,1741.930891
1.0,157,1749.16899
3.0,249,1763.600034
3.0,246,1782.618787
1.0,177,1794.666868
6.0,377,1825.43359
0.0,129,1834.341599
0.0,129,1840.731915
10.0,431,1870.325762
6.0,376,1898.75901
0.0,127,1906.112857
3.0,236,1921.512345
1.0,173,1932.093204
2.0,202,1946.870708
3.0,228,1964.594746
0.0,123,1973.966274
3.0,247,1988.722197
0.0,123,1997.014418
2.0,200,2009.780246
2.0,200,2024.679361
3.0,248,2041.687638
0.0,129,2049.817167
2.0,198,2063.538941
0.0,129,2070.71864
0.0,125,2078.247281
0.0,125,2084.879481
7.0,325,2104.642502
2.0,198,2117.168952
2.0,202,2128.738031
2.0,200,2141.313449
2.0,205,2154.407062
1.0,155,2163.428549
6.0,401,2194.242195
1.0,154,2204.291724
5.0,350,2229.612985
9.0,404,2257.905403
5.0,350,2282.2706
0.0,123,2290.907447
1.0,175,2302.110896
6.0,420,2329.287523
1.0,151,2338.118347
4.0,299,2358.908963
0.0,127,2368.317923
0.0,129,2376.002496
2.0,202,2390.006587
6.0,382,2415.635182
0.0,129,2422.168254
3.0,250,2437.573767
0.0,129,2445.370664
2.0,198,2458.708442
2.0,187,2473.461448
0.0,129,2483.622873
0.0,127,2492.599996
0.0,127,2501.424498
6.0,360,2530.035578
0.0,125,2538.419196
0.0,129,2546.304923
0.0,129,2555.859796
0.0,125,2563.406157
2.0,203,2575.860259
1.0,177,2587.65415
0.0,125,2593.669942
1.0,176,2605.593563
2.0,201,2619.237699
1.0,155,2630.004608
2.0,202,2641.684192
2.0,202,2656.529202
5.0,350,2681.981524
0.0,127,2689.531386
1.0,155,2700.458847
0.0,127,2708.204787
1.0,175,2718.33033
4.0,326,2740.989645
3.0,271,2760.73873
0.0,125,2769.600492
4.0,279,2790.003358
3.0,230,2807.987691
4.0,275,2826.301937
2.0,221,2840.469541
2.0,200,2856.812598
0.0,127,2863.976512
3.0,271,2879.864266
1.0,155,2889.720966
1.0,177,2902.55543
0.0,125,2912.45199
5.0,352,2936.86694
1.0,153,2946.410583
6.0,329,2969.772852
0.0,125,2979.529111
4.0,299,3002.739187
2.0,220,3016.939702
0.0,129,3024.28227
5.0,350,3045.970424
1.0,157,3055.8642
1.0,173,3068.916013
3.0,250,3086.596654
0.0,129,3095.445867
2.0,183,3107.438943
0.0,127,3114.223041
3.0,212,3126.593621
6.0,382,3150.125552
5.0,350,3175.502856
2.0,183,3188.059104
3.0,214,3204.644945
8.0,372,3231.638848
3.0,271,3249.176028
0.0,129,3255.230149
2.0,185,3269.452492
4.0,297,3287.514708
0.0,127,3293.943297
2.0,199,3307.368823
3.0,230,3321.989092
3.0,249,3338.789723
6.0,348,3361.19707
4.0,247,3381.081598
3.0,272,3399.999456
6.0,349,3423.915688
0.0,129,3433.253446
12.0,513,3469.406057
1.0,178,3480.085481
3.0,218,3498.293683
0.0,129,3507.654501
5.0,332,3530.900832
0.0,129,3537.23618
0.0,129,3544.458151
1.0,157,3553.684784
7.0,408,3577.141325
10.0,508,3612.433253
0.0,127,3619.163436
7.0,429,3650.986133
11.0,479,3684.103645
7.0,403,3713.198532
0.0,127,3722.922828
4.0,295,3741.275962
8.0,279,3761.564796
3.0,214,3778.93753
1.0,178,3791.030905
5.0,292,3815.182389
12.0,522,3851.218281
4.0,284,3873.66576
1.0,155,3882.44797
2.0,184,3900.586129
2.0,185,3914.262905
4.0,320,3939.931215
4.0,279,3959.235678
10.0,379,3985.129144
2.0,206,3999.66658
2.0,203,4016.612375
7.0,248,4032.747115
6.0,358,4064.755794
9.0,401,4087.848552
0.0,129,4096.782013
9.0,347,4123.021578
9.0,328,4142.936075
2.0,225,4156.992221
4.0,279,4184.138035
7.0,426,4215.651156
6.0,345,4241.157645
5.0,329,4262.492392
9.0,347,4290.445694
8.0,296,4312.052814
12.0,476,4347.832041
8.0,462,4377.137557
7.0,248,4391.936435
7.0,248,4405.729892
13.0,502,4441.904299
0.0,129,4451.542093
5.0,292,4470.404883
5.0,350,4496.461197
5.0,295,4518.610625
7.0,394,4546.821131
8.0,438,4574.68425
8.0,440,4603.739721
6.0,360,4625.966061
20.0,353,4658.246154
16.0,586,4701.239026
4.0,319,4726.421412
12.0,552,4774.705573
15.0,630,4821.015402
7.0,370,4839.866713
8.0,279,4856.848705
7.0,371,4882.191673
12.0,529,4921.749893
11.0,271,4938.653208
6.0,322,4961.678319
9.0,404,4983.912852
17.0,584,5024.833416
6.0,357,5051.114016
7.0,404,5082.433058
14.0,387,5104.019114
9.0,487,5138.698872
6.0,301,5159.545103
18.0,528,5187.265258
14.0,577,5227.62164
9.0,326,5245.216765
12.0,572,5285.274647
17.0,673,5329.37307
12.0,489,5357.505301
19.0,710,5404.683937
8.0,440,5435.84707
11.0,271,5454.196101
14.0,368,5478.53686
12.0,472,5510.2177
18.0,631,5553.571738
15.0,620,5598.96407
19.0,422,5632.100268
7.0,410,5665.449084
12.0,456,5695.784054
11.0,572,5732.871853
10.0,563,5767.711949
6.0,343,5789.937558
9.0,461,5820.603061
15.0,616,5864.370284
9.0,511,5894.836477
19.0,589,5940.887808
15.0,655,5988.37178
13.0,351,6010.590414
13.0,567,6048.924859
16.0,680,6096.544151
7.0,392,6119.382793
14.0,576,6157.231309
7.0,388,6182.799219
14.0,662,6223.677483
19.0,572,6267.748582
16.0,483,6301.552629
32.0,755,6344.618666
17.0,682,6390.674314
26.0,748,6442.636685
18.0,726,6491.932895
12.0,606,6534.515225
17.0,629,6577.480667
24.0,588,6613.168989
21.0,691,6661.025198
17.0,537,6695.605497
25.0,789,6752.037122
8.0,458,6783.57021
17.0,671,6832.650296
14.0,614,6872.290431
10.0,512,6905.487112
11.0,584,6942.104355
21.0,739,6994.530819
18.0,698,7049.151142
25.0,608,7086.980558
20.0,611,7125.201014
13.0,565,7165.704794
16.0,675,7209.134188
13.0,586,7247.161123
18.0,593,7283.389918
17.0,624,7332.180902
22.0,505,7364.292109
36.0,1056,7436.865113
13.0,502,7467.31806
27.0,688,7504.720639
25.0,833,7567.818445
26.0,924,7628.299676
0.0,125,7635.507062
12.0,512,7670.94141
27.0,713,7718.67602
10.0,531,7756.233348
17.0,643,7809.162782
19.0,687,7853.266901
32.0,823,7902.480601
11.0,527,7940.587122
15.0,623,7986.241814
24.0,782,8043.366788
32.0,801,8099.713491
26.0,745,8154.227239
20.0,887,8212.44421
17.0,596,8259.267107
39.0,957,8320.139128
27.0,815,8377.743046
27.0,794,8432.859696
25.0,879,8501.102501
30.0,703,8540.826744
0.0,129,8549.634954
9.0,467,8582.029999
35.0,900,8644.349969
22.0,706,8690.300052
33.0,637,8730.834646
26.0,965,8788.402759
17.0,582,8827.900021
34.0,994,8902.26538
41.0,944,8966.844138
7.0,413,8998.178477
9.0,430,9024.498069
26.0,700,9068.276466
34.0,1108,9147.805516
31.0,1049,9222.720785
30.0,950,9282.959118
25.0,863,9337.201188
40.0,794,9384.333791
30.0,993,9451.191824
30.0,828,9505.507582
22.0,529,9544.586662
19.0,429,9574.352852
23.0,824,9629.105244
30.0,886,9689.944534
20.0,780,9743.834201
43.0,949,9812.497604
20.0,632,9853.998601
46.0,977,9918.090039
51.0,899,9981.561085
25.0,895,10049.288358
13.0,534,10084.094606
36.0,990,10151.636405
40.0,1162,10231.644772
32.0,1110,10306.712765
54.0,1159,10392.116183
24.0,846,10447.808689
38.0,940,10510.281124
26.0,898,10571.916112
53.0,923,10626.394356
33.0,1098,10694.240273
42.0,1165,10776.651812
39.0,927,10840.03062
41.0,1155,10914.949998
42.0,1011,10988.873016
36.0,926,11050.555067
57.0,1271,11169.68394
50.0,1210,11268.816621
31.0,747,11328.043048
52.0,1144,11402.933324
16.0,587,11443.193564
65.0,1461,11544.664461
34.0,812,11618.64572
65.0,1559,11742.60009
27.0,644,11794.390821
41.0,987,11874.910264
51.0,1245,11971.592808
20.0,679,12030.117954
58.0,1243,12111.687172
69.0,1119,12180.132064
37.0,697,12228.588668
37.0,728,12286.402776
48.0,948,12354.476086
24.0,594,12404.680706
52.0,1053,12496.006627
44.0,1337,12613.49836
58.0,1198,12736.448548
30.0,781,12791.631662
18.0,629,12850.466732
13.0,440,12880.99095
51.0,1083,12956.258284
58.0,1394,13045.813546
61.0,1347,13157.77392
42.0,670,13229.773865
53.0,1252,13309.969868
33.0,674,13360.569062
31.0,894,13451.090008
56.0,1347,13541.641414
46.0,917,13618.969097
32.0,502,13660.050318
67.0,1209,13747.61364
68.0,1058,13830.852668
63.0,1430,13915.022709
59.0,1143,14016.85489
44.0,1002,14117.038385
63.0,1424,14244.6951
64.0,1022,14332.882992
97.0,1493,14470.780346
86.0,1536,14592.742607
261.0,990,14658.241792
79.0,1557,14780.540919
71.0,1480,14903.04824
46.0,1022,14996.963712
51.0,1205,15094.653349
79.0,1557,15239.144538
59.0,1319,15361.123645
