frames,policy_entropy,episode_length,fps,advantage_norm,explained_variance,P09:episode_rewards,P01:episode_rewards,epoch_idx,policy_loss,PMM:episode_rewards,value_loss,grad_norm
8000,1.3410725620388986,170.55,222,2.0130087266862393,-3.1485229897499085,3.0,0.0,1,-0.030811045945156365,1.125,0.08884240402068827,2.1688949773812207
16000,1.3650078678131103,182.81176470588235,171,1.215868625305593,-0.07489522576332092,4.0,0.0,2,0.0041278432827675715,1.411764705882353,0.014359207660509127,0.2757459449815527
24000,1.3329469966888428,181.96,181,1.1981254797056318,-0.05918393313884735,4.0,0.0,3,5.7359603233635424e-05,1.38,0.013842828198430652,0.24277069353193365
32000,1.3547590672969818,175.25,180,1.2247700190357864,-0.04207294404506683,3.0,0.0,4,0.0006456451682606712,1.23,0.013978310856246026,0.2381007893325797
40000,1.3524259960651397,184.43,181,1.4549869582057,0.0002551811933517456,4.0,0.0,5,0.00043682272313162686,1.48,0.01786643467086833,0.25121250366852244
48000,1.3604573178291322,194.56,187,1.2041565651446582,-0.01543106496334076,4.1000000000000085,0.0,6,0.0006042871097452007,1.71,0.01268675606317629,0.18375799935473872
56000,1.3633831226825714,198.72,192,1.498888475522399,-0.0920852530002594,5.0,0.0,7,0.00024835628020809965,1.84,0.018651815579614775,0.2659878918605186
64000,1.3658228063583373,201.27,198,1.3295604584366083,-0.013536688089370728,5.0,0.0,8,0.002957038963213563,1.99,0.016029618658294567,0.24030211976965368
72000,1.3793603932857514,201.22,199,1.3528198914602398,0.016726556420326232,5.0,0.0,9,0.0023088652109618125,1.92,0.01651892743375356,0.2320028610706225
80000,1.3829394423961638,193.25,202,1.4155731104314326,0.013427221775054931,4.0,0.0,10,0.001964375297538936,1.62,0.01675614103296539,0.23184930350523633
88000,1.3609513628482819,196.05,203,1.5221680998057128,-0.066941859126091,4.0,0.0,11,0.005739926899259444,1.66,0.022465531509005814,0.44729074751709413
96000,1.3653996205329895,202.13,203,1.4320263919234275,-0.0968341201543808,5.0,0.0,12,-0.0031867870985297485,1.86,0.018850859749400116,0.35416082951643085
104000,1.3793074262142182,192.65,205,1.2071792919933797,0.05743195950984955,4.0,0.0,13,0.0035436452605063094,1.67,0.013227983780234353,0.2917559795350845
112000,1.3540590178966523,188.79,206,1.343244370520115,0.29374895215034486,4.0,0.0,14,-0.001101053592574317,1.55,0.014295205812959465,0.2956420847038498
120000,1.3358268272876739,192.77,206,1.1828982266783714,0.6122802031040192,5.0,0.0,15,-0.004970942138752435,1.65,0.010926476554013789,0.3265103244125225
128000,1.3422196006774902,191.37,207,1.3969324448704719,0.7438213783502579,5.0,0.0,16,0.0008041640766896308,1.63,0.01434372333693318,0.33922919717027483
136000,1.3719628155231476,200.91,207,1.4229006400704385,0.6705975395441055,5.0,0.0,17,-0.0002620534796733409,1.89,0.015220307423733174,0.34274357040463777
144000,1.3690070760250093,197.62,208,1.2268995147943498,0.7734425973892212,5.0,0.0,18,-0.00022164908252307215,1.83,0.010921786820981652,0.3060389207831895
152000,1.3440562200546264,192.08,210,1.21292292624712,0.8305098438262939,4.0,0.0,19,-0.001997317357818247,1.67,0.010731416398193687,0.2959986052808524
160000,1.3400218498706817,188.87,210,1.124095596075058,0.8804528653621674,5.0,0.0,20,-0.002911563496454619,1.56,0.00943102665769402,0.28083154163986523
168000,1.2945225590467453,195.78,212,1.6330823335051536,0.7840171402692795,5.0,0.0,21,-0.003698413063539192,1.73,0.08596902014221997,1.1003510749126562
176000,1.337020754814148,217.02,212,1.0304265362024307,0.9099304181337357,9.0,0.0,22,-0.003233998102659825,2.39,0.00802649859630037,0.2680949763107549
184000,1.320304766893387,216.44,213,0.9425478249788284,0.9239760309457778,9.0,0.0,23,-0.0030931877311377322,2.46,0.0067589564516674725,0.25060074518594566
192000,1.3349715197086334,219.0,212,0.9273899725079536,0.9274419420957565,7.200000000000017,0.0,24,0.0008441452528495574,2.46,0.006235350845381618,0.22622806567013484
200000,1.3358481299877167,209.8,212,0.8105088271200657,0.9486811244487763,6.1000000000000085,0.0,25,-0.0011636297206860035,2.17,0.005164191127987578,0.1976120084165403
208000,1.346602965593338,190.12,212,0.7268918830156327,0.9590423458814621,5.0,0.0,26,-0.0005328397580888122,1.63,0.00390798668959178,0.18032197593517782
216000,1.3389678597450256,196.59,212,0.960248255431652,0.9099359506368637,5.1000000000000085,0.0,27,-0.002160012733656913,1.81,0.007655908102460671,0.23852662274003766
224000,1.3452390956878661,192.3,212,0.6792373809218407,0.943339250087738,5.0,0.0,28,-0.00017514458973892034,1.67,0.003806186617584899,0.16684999187486668
232000,1.3438555443286895,193.14,211,0.7170991818606853,0.9611515790224076,5.1000000000000085,0.0,29,-0.0006915984099032358,1.79,0.004006446173007134,0.1719585284075085
240000,1.3362029242515563,193.37,212,0.7414663696289062,0.9643692833185196,5.0,0.0,30,-0.0002493651132681407,1.8,0.004116586179588921,0.18759055011857448
248000,1.3372944676876068,203.62,212,0.6912676201760769,0.9646234458684921,5.0,0.0,31,-0.0007883149548433721,2.04,0.004141004816046916,0.17005529855342347
256000,1.3499574100971221,206.27,211,0.7837660348415375,0.9404758030176162,5.0,0.0,32,-0.0006757896061753854,2.04,0.005214582756743766,0.19285247379403386
264000,1.3428511488437653,208.4,211,0.6428802178800106,0.9718582671880722,5.0,0.0,33,-0.0010532633318507578,2.13,0.003177155214943923,0.1559101028501052
272000,1.3567778885364532,211.85,212,0.7073393715918064,0.9116021019220352,5.0,0.0,34,-0.005587084971830336,2.23,0.00717157593666343,0.2042016677631312
280000,1.3688839852809906,196.19,212,0.8618571418523788,0.908378763794899,5.0,0.0,35,0.0009131221720599569,1.85,0.005987242260598578,0.21164232996723498
288000,1.3442532575130464,189.96,212,0.7336279851198196,0.9632328307628631,5.0,0.0,36,-0.00232186446301057,1.68,0.0043464255146682266,0.16965163908916264
296000,1.3474535501003266,204.48,213,0.5530590349435807,0.9743034505844116,6.1000000000000085,0.0,37,-0.00042621995686204173,2.03,0.0025026244269974996,0.1262138209883235
304000,1.3595636475086212,201.84,213,0.5501440592110157,0.9723527383804321,5.0,0.0,38,3.5160132974851876e-05,1.95,0.002518592974083731,0.13415027641161786
312000,1.3498669612407683,185.47,214,0.7978250327706337,0.9442299616336822,5.0,0.0,39,-0.0009669938072329387,1.46,0.005405310009955429,0.18491896639543867
320000,1.351778061389923,194.97,215,0.5345748092234135,0.9799697196483612,5.0,0.0,40,-0.0008299848443130032,1.81,0.0022205623768968507,0.12228942820224412
