frames,policy_entropy,policy_loss,grad_norm,advantage_norm,explained_variance,PMM:episode_rewards,P09:episode_rewards,epoch_idx,value_loss,episode_length,P01:episode_rewards,fps
8000,1.3444676378369331,0.014221360546653159,1.9311403273521695,1.6717327401041984,-3.4995284205675126,1.1578947368421053,3.0,1,0.03330996536438761,170.3421052631579,0.0,207
16000,1.36751371383667,0.004345877853047568,0.24871485564950535,1.3767794735729695,-0.0295324832201004,1.617283950617284,4.0,2,0.017256669439848337,190.80246913580248,0.0,173
24000,1.3550083184242248,0.0022860997513635085,0.26134228740554427,1.2950109564512968,-0.03168367505073547,1.57,4.0,3,0.015506064424316719,190.83,0.0,195
32000,1.3495066595077514,4.707471816800535e-05,0.24443623032482484,1.248691866248846,-0.011678457260131836,1.61,4.0,4,0.014349916109676997,190.22,0.0,205
40000,1.359488297700882,0.003264475657197181,0.25949230962392533,1.2504020795971156,-0.012484530806541444,1.74,5.0,5,0.014580099379600142,194.56,0.0,207
48000,1.3777372789382936,-0.0006667029866366648,0.2065443645932774,1.0787769515812398,0.007857543230056763,1.52,4.0,6,0.010754191587548121,187.61,0.0,210
56000,1.3720809400081635,0.00021686400443286403,0.2027240095249461,1.0515973011404276,-0.10118411123752594,1.13,3.0,7,0.010374490293033887,171.5,0.0,212
64000,1.3784128391742707,-0.0008665252002538182,0.3197636017025279,1.2308820487558843,0.17163130939006804,1.11,3.0,8,0.01351721926504979,170.36,0.0,213
72000,1.3685351741313934,0.0011141259038777206,0.2689359882599522,1.1426792065054179,0.10022570550441742,1.22,3.0,9,0.011131377824931406,173.34,0.0,213
80000,1.3623323595523835,-0.0005700877142953687,0.5096960417541706,1.4366368821263313,0.2773910528421402,1.3,3.0,10,0.01920181775232777,175.48,0.0,213
88000,1.378102639913559,-0.01024517618236132,0.559364772797214,1.5257821609079838,0.4052336913347244,1.4,3.0,11,0.019254512159968727,181.03,0.0,211
96000,1.3778782486915588,-0.0006863808655180037,0.3187250388182398,1.1026704789698123,0.5094627493619919,1.33,3.0,12,0.009542427386913915,178.94,0.0,211
104000,1.378654373884201,-0.0031276492006145416,0.3732557942323747,1.2079992380738258,0.490781147480011,1.16,3.0,13,0.010966385671054013,173.23,0.0,211
112000,1.37960266828537,-0.00018507011816836893,0.3572955459206223,1.121167849600315,0.608652549982071,1.24,3.0,14,0.010515984695084626,177.27,0.0,214
120000,1.3719070446491242,-0.005198684305505594,0.377924237169332,1.245387969315052,0.7047576838731766,1.25,3.0,15,0.011374629760393874,177.21,0.0,216
