policy_gradient_bias_correction,advantage_norm,policy_loss,PMM:episode_rewards,explained_variance,frames,model_prob_std,q_loss,fps,episode_length,rollout_prob_std,avg_q_selected,epoch_idx,grad_norm,P01:episode_rewards,policy_gradient_loss,P09:episode_rewards,policy_entropy,avg_q_retraced
0.0,0.03384931149582068,-4.7741503785895625e-05,0.0,-33.31261863708496,7200,0.009516499020780127,0.00014577142477113132,341,0,0.009516498943169912,0.0008784543343305511,1,0.048212326192185836,0.0,-4.7741503785895625e-05,0.0,2.187526241938273,0.0008421992160341081
0.0,0.057731314251820244,-0.0005773055295293262,0.0,-62.919747984409334,14400,0.20513265465075772,0.0059193006774118356,218,0,0.20513265387465557,0.09027000281110607,2,0.45967079477789174,0.0,-0.0005773055295293262,0.0,0.8096303970529064,0.08879022343395869
0.0,0.036628231902917224,-8.866890417872735e-05,0.0,-90.10357769529024,21600,0.0707224106338496,0.0001633430354710678,264,0,0.07072241047862918,0.002286993793677539,3,0.10426782364560666,0.0,-8.866890417872735e-05,0.0,1.7577802639661408,0.0023700955789536238
0.0,0.020987774757668377,-4.1971014312972935e-05,0.0,-64.38928661346435,28800,0.005401373227747778,4.726351071440149e-05,284,0,0.005401373227747778,0.0020313429549181214,4,0.00828136760828445,0.0,-4.1971014312972935e-05,0.0,2.1958548148473103,0.001967393575857083
0.0,0.010952303372323512,-4.461102089408087e-05,0.0,-107.72641188303629,36000,0.002332981031698485,2.3029987642075866e-05,309,0,0.002332981093786657,0.0018019075486032912,5,0.0026404684237761973,0.0,-4.461102089408087e-05,0.0,2.1969243844350177,0.001786220803235968
0.0,0.01523448945954442,-5.4137499986003e-05,0.0,-32.7977289835612,43200,0.0027764995000325145,1.4350172432386898e-05,330,3323.9166666666665,0.002776499465107918,0.0017574176735555133,6,0.002536828008285952,0.0,-5.4137499986003e-05,0.0,2.1968617041905723,0.0017619341650667289
0.0,0.00613313678962489,-4.646307170332875e-05,0.0,-71.22279052734375,50400,0.0015532421821262687,6.125920049271372e-06,349,3323.9166666666665,0.0015532422112300992,0.0021410565978537003,7,0.00272396702437207,0.0,-4.646307170332875e-05,0.0,2.197041320800781,0.002135260197489212
0.0,0.005829130811616778,-5.188276672924985e-05,0.0,-125.97550315856934,57600,0.0013558274251408875,8.615612864559808e-06,364,3323.9166666666665,0.0013558274367824197,0.002075752984577169,8,0.0015153879449671926,0.0,-5.188276672924985e-05,0.0,2.1971367756525675,0.0020435717597138137
0.0,0.00999479489400983,-1.745157237754332e-05,0.0,-20.57381388346354,64800,0.0018793864621936033,4.389857739776441e-06,376,3323.9166666666665,0.001879386475775391,0.0007021758307625229,9,0.0011716698804974935,0.0,-1.745157237754332e-05,0.0,2.197052065531413,0.0006624840917841842
0.0,0.007279128728744884,-1.0869000635693738e-05,0.0,-25.778166198730467,72000,0.0013948993272303292,2.589781399819913e-06,387,3323.9166666666665,0.0013948993602146706,0.00045938494028329536,10,0.0009143364176619746,0.0,-1.0869000635693738e-05,0.0,2.197118139266968,0.0004217711456779701
0.0,0.011765009762408832,-1.2483487641172056e-05,0.0,-14.610953235626221,79200,0.0020216197066474707,3.995094359273329e-06,397,3323.9166666666665,0.002021619714408492,0.0006893437413964421,11,0.0010877584619777428,0.0,-1.2483487641172056e-05,0.0,2.197036941846212,0.0006581114042395105
0.0,0.0043632324940214556,-1.2475675399533278e-05,0.0,-22.359712251027425,86400,0.0008036169553330789,9.091189563529648e-07,405,3324.5416666666665,0.0008036169592135896,0.00021305149296040326,12,0.0005877242244680778,0.0,-1.2475675399533278e-05,0.0,2.197188703219096,0.0002155258460334153
0.0,0.0037468275055289268,-1.792918234801988e-05,0.0,-74.7610585530599,93600,0.0008309584712454429,2.605155316359742e-06,411,3324.5416666666665,0.0008309584906479964,0.0009304414996828806,13,0.0008303173464804597,0.0,-1.792918234801988e-05,0.0,2.1971859693527223,0.0009375615484411052
0.0,0.0038449453578020135,-1.0039681221011658e-05,0.0,-29.03388392130534,100800,0.0007214874921677013,1.1210465866421752e-06,416,3324.5416666666665,0.0007214874727651477,0.0002630220155197094,14,0.0005050326383024368,0.0,-1.0039681221011658e-05,0.0,2.1972002665201824,0.00026206980379962866
0.0,0.009616472063741336,-1.1293329968490677e-05,0.0,-12.321217409769694,108000,0.0015816666729127368,2.1974888293622524e-06,421,3324.5416666666665,0.0015816666942555456,0.0005186877152179174,15,0.0008534897389738953,0.0,-1.1293329968490677e-05,0.0,2.1971185127894084,0.0005003958968700317
