frames,fps,episode_length,value_loss,policy_entropy,PMM:episode_rewards,approx_kl_divergence,P01:episode_rewards,P09:episode_rewards,policy_loss,clip_fraction,explained_variance,grad_norm,advantage_norm,epoch_idx
10240,185,351.44,429722418.3819521,0.5559306837162536,73.0,1171575.4955156492,0.0,190.00000000000003,0.03548188000509071,0.39619140625,-0.3747293509542942,460330710.6619919,15.968712675571442,1
20480,184,356.0357142857143,0.008700856995040595,1.2569231934845448,138.39285714285714,0.005466849491267567,0.0,337.5,0.00032515113962290344,0.23310546875,-2.2724270820617674e-08,0.07592677899927532,15.968716806173324,2
30720,197,348.83720930232556,0.009463083615423784,1.3987852215766907,139.82558139534885,0.00457953734419334,0.0,262.5,-0.001395347621291876,0.2308349609375,-5.960464477539063e-09,0.05672193002865692,15.968717443943024,3
40960,208,353.46,0.011901808286165761,1.3911865510046482,180.0,0.002878781017534493,22.500000000000007,402.5000000000002,-0.0009766526476596483,0.1671142578125,1.4901161193847657e-09,0.04860978507969761,15.96871771812439,4
51200,213,357.46,0.014740002786857076,1.3795201376080513,223.75,0.0021379024287085714,50.0,475.0,-0.000700375511587481,0.13408203125,-2.8312206268310546e-08,0.04774128417223847,15.968717950582505,5
61440,218,366.45,0.014629855558814598,1.340017832070589,262.5,0.002404757648287159,75.0,480.00000000000045,-0.0008013902897801017,0.1470458984375,2.2724270820617674e-08,0.051295010554653575,15.96871770620346,6
71680,220,375.41,0.013145273245754652,1.4486317373812199,292.5,0.0031467802833049065,122.5,550.0,-0.0005951456558250356,0.1938232421875,-1.862645149230957e-09,0.052951859306316594,15.968717873096466,7
81920,223,368.18,0.015926585704437456,1.5338129185140132,281.75,0.0028660855824682585,150.0,430.0000000000004,-0.0007837799574190285,0.194384765625,-1.3411045074462891e-08,0.05674563875461732,15.96871793270111,8
92160,224,361.36,0.014600217892439104,1.5662993408739567,278.5,0.0031448819586898935,150.0,430.0000000000004,-0.0015966473474691156,0.21259765625,1.0430812835693359e-08,0.05029713646860364,15.968717795610427,9
102400,226,355.36,0.013733582491113339,1.5165586203336716,267.0,0.0028009109907884524,150.0,377.5000000000002,-0.000961795436887769,0.1994384765625,3.3527612686157227e-09,0.054036330819444325,15.968717813491821,10
112640,227,353.44,0.012206731068363296,1.5554529882967472,257.75,0.002902015082156595,100.0,402.5000000000002,-0.000919404833985027,0.1987548828125,-1.30385160446167e-08,0.054103652414703454,15.968717819452285,11
122880,229,352.44,0.01339925405336544,1.6265792720019818,244.5,0.0028693484688744773,75.0,402.5000000000002,-0.0017198569326865253,0.2015869140625,1.2665987014770507e-08,0.05468605346156354,15.96871783733368,12
133120,230,354.29,0.008918014457265144,1.629602523893118,227.0,0.00356507714180907,50.0,430.0000000000004,-0.0011890820242115296,0.237890625,-4.470348358154297e-09,0.05154671759284167,15.9687175989151,13
143360,230,339.71,0.007743145657877903,1.5921066977083682,187.5,0.0029282756005841295,50.0,405.00000000000045,-0.0012777954972989392,0.2299072265625,3.7252902984619143e-10,0.05060686108766995,15.968717348575591,14
153600,231,328.57,0.007597734807313827,1.5398573093116283,156.5,0.0031900859596589726,25.0,400.0,-0.0014458485617069527,0.2365234375,-1.564621925354004e-08,0.05002761013007162,15.968717592954636,15
163840,231,338.92,0.010194608257006622,1.4940187357366086,154.25,0.002726693413637804,25.0,377.5000000000002,-0.0012717547193460631,0.18896484375,-1.3783574104309083e-08,0.051936397208924935,15.968717682361603,16
174080,232,357.52,0.013827788442722522,1.4193162232637406,204.5,0.0023568595006167926,25.0,452.50000000000017,-0.0010194310023507569,0.154638671875,1.2293457984924316e-08,0.05163885137430842,15.968717992305756,17
184320,232,378.83,0.011510103536420502,1.454841184616089,253.75,0.0033704480806136415,50.0,505.00000000000045,-0.001802347199554788,0.25234375,4.8428773880004884e-09,0.05257147107801082,15.968717831373215,18
194560,233,383.52,0.008773557154927402,1.4672064490616321,264.75,0.002695262491158701,75.0,505.00000000000045,-0.001064246735040797,0.1879150390625,2.2351741790771484e-09,0.049777802312980714,15.968717688322068,19
204800,233,357.61,0.004326293932993508,1.5758188679814338,195.75,0.003421911959009094,25.0,500.0,-0.0006526332406792789,0.220751953125,1.7136335372924803e-08,0.04900220318786737,15.968712413311005,20
215040,233,343.6,0.007048472012684215,1.6316586151719092,153.0,0.003780146018198138,0.0,427.5000000000002,-0.0013137117974110879,0.2736572265625,1.0058283805847169e-08,0.051541103186411905,15.968717676401138,21
225280,233,326.34,0.005714264441598971,1.6792589761316776,108.75,0.004018486685390598,0.0,225.0,-0.0007561095673736418,0.2645263671875,-5.960464477539063e-09,0.0520035849082186,15.968704640865326,22
235520,233,319.12,0.004520224047408305,1.6507532574236392,105.25,0.003703621606462093,0.0,225.0,-0.0015833364457648713,0.2662353515625,-6.332993507385254e-09,0.048728052138992374,15.968715780973435,23
245760,233,309.95,0.0037070858829082454,1.5741303578019141,79.25,0.00389053439929512,0.0,152.50000000000023,-0.0010706903434765992,0.242138671875,-7.82310962677002e-09,0.043672365524652444,15.968707633018493,24
256000,234,318.47,0.007734187613823451,1.4995808124542236,87.25,0.0032728965078263174,0.0,200.0,-0.0006871174009575043,0.21171875,8.568167686462402e-09,0.045626049596560546,15.968717682361603,25
266240,233,323.85,0.005963396550487232,1.5839371263980866,95.25,0.004466531708231969,0.0,200.0,-0.0016237806565186474,0.31259765625,7.450580596923828e-09,0.05051563281746936,15.968716955184936,26
276480,233,328.4,0.005560566763804786,1.5151188045740127,103.5,0.004170315795710167,0.0,202.50000000000023,-0.0018625839606102091,0.2702392578125,-7.450580596923828e-09,0.0448093919352322,15.968685287237168,27
286720,234,326.03,0.007183800047732803,1.5184335686266421,100.75,0.0034183768130560564,0.0,200.0,-0.0010167857879423536,0.220654296875,-4.8428773880004884e-09,0.04520467805013004,15.968717002868653,28
296960,234,336.81,0.010847025730799941,1.5493782348930836,140.75,0.003460040659842889,0.0,377.5000000000002,-0.001373129072089796,0.25009765625,2.905726432800293e-08,0.05227977542735958,15.968717801570893,29
307200,234,351.9,0.013233486737590283,1.6030137449502946,189.75,0.002857173654103917,25.0,405.00000000000045,-0.000891179819154786,0.1987548828125,7.82310962677002e-09,0.055148989860845286,15.968717765808105,30
317440,235,369.19,0.011189259197271895,1.6250667609274387,226.5,0.002966389400000935,50.0,500.0,-0.0015031148930575,0.225537109375,1.1175870895385742e-09,0.052087877326905785,15.968717765808105,31
327680,235,369.1,0.011022686193359731,1.5981007799506188,243.0,0.003256124874064881,72.50000000000001,527.5000000000002,-0.0015270216630597134,0.2322265625,-8.195638656616212e-09,0.05212206156150286,15.968717515468597,32
337920,235,362.0,0.012864788142906036,1.6204053431749343,241.5,0.002854952904226593,75.0,527.5000000000002,-0.0015249057913024444,0.2172607421875,1.6391277313232423e-08,0.05572395020205747,15.96871771812439,33
348160,235,370.34,0.013206481520319358,1.533510211855173,249.75,0.0031057390225328165,75.0,550.0,-0.002205265064185369,0.2232177734375,6.7055225372314455e-09,0.05312858715731188,15.968717724084854,34
358400,236,373.11,0.009312799672068195,1.5719039484858512,253.25,0.0036605076958153406,50.0,550.0,-0.0014132053998764603,0.264306640625,1.30385160446167e-08,0.054703587348839774,15.96871730685234,35
368640,236,378.23,0.00785765174223343,1.564204289019108,245.5,0.0032347522143936656,50.0,550.0,-0.001020942779359757,0.213671875,3.3527612686157227e-09,0.04941678422373063,15.968717753887177,36
378880,236,362.22,0.006647351464846451,1.6447081454098225,196.0,0.0037239922257072066,25.0,502.5000000000002,-0.0012886085962236394,0.2705322265625,-1.1920928955078126e-08,0.04719771523036239,15.968717175722123,37
389120,236,343.64,0.008350565238833952,1.723596142232418,157.0,0.0037062206886275817,25.0,380.00000000000045,-0.0018837895400793058,0.29423828125,-3.3527612686157227e-09,0.05290427303043967,15.968717455863953,38
399360,237,342.34,0.009116798339528031,1.6559268251061439,148.5,0.0034764715763913046,25.0,280.00000000000045,-0.0009713530926092062,0.2418701171875,-3.7252902984619143e-10,0.05449474874274196,15.968717819452285,39
409600,237,346.19,0.009202340799674857,1.5768659375607967,166.75,0.002532914595903435,25.0,327.5000000000002,-0.001364723828737624,0.1813232421875,-5.215406417846679e-09,0.04925201389047798,15.968717712163926,40
419840,237,354.43,0.008559707576932852,1.562905216217041,166.75,0.0030248166953015243,25.0,325.0,-0.0007821000974217896,0.21533203125,1.0430812835693359e-08,0.054896033398842956,15.968717855215072,41
430080,237,355.99,0.01047339873148303,1.548091960698366,166.0,0.0023164379133504553,47.50000000000001,275.0,-0.0006455274276959244,0.172119140625,1.2665987014770507e-08,0.05009537643481323,15.96871775984764,42
440320,237,357.47,0.010992803657791228,1.6267328962683678,187.75,0.0031038216783031204,50.0,327.5000000000002,-0.0016721704210794996,0.23720703125,-2.0489096641540527e-08,0.05635036379002981,15.968717819452285,43
450560,237,363.39,0.012625767252757214,1.6713956043124198,217.0,0.0032163451214159977,75.0,427.5000000000002,-0.002155913996102754,0.258251953125,1.564621925354004e-08,0.05866909983869502,15.968717986345291,44
460800,237,364.53,0.015226979728322477,1.6157190836966038,251.5,0.0026176302496367042,100.0,455.0000000000004,-0.0009891441059153294,0.1888427734375,2.6077032089233397e-09,0.05569609143966764,15.96871775984764,45
471040,237,362.93,0.014787339749454986,1.634859286248684,263.75,0.0025059203286446063,125.0,502.5000000000002,-0.001094224469125038,0.1828369140625,4.097819328308106e-09,0.05605762676123914,15.968717885017394,46
481280,237,369.69,0.014300230256048962,1.610321582108736,290.25,0.0022236503424835517,150.0,552.5000000000002,-0.001309240115006105,0.17080078125,3.725290298461914e-09,0.05305644155164955,15.968717730045318,47
491520,237,364.22,0.014478043945564423,1.5784197703003884,282.0,0.0021877116019027197,172.5,415.00000000000125,-0.0015678261366701917,0.17275390625,-1.0058283805847169e-08,0.05597340038840193,15.96871770620346,48
501760,237,355.78,0.01547238072816981,1.606402538716793,279.5,0.002466530405325784,172.5,410.00000000000085,-0.00160048274192377,0.18408203125,-3.7252902984619143e-10,0.05523957127965862,15.968717944622039,49
512000,238,369.24,218856527.96450973,0.7278084043505124,262.75,297523333.6681453,125.0,375.0,0.019762798783722245,0.19404296875,-0.005691713467240333,411000834.16571784,15.96871749162674,50
522240,238,424.61,0.5333034868316948,0.00984953689032143,240.25,0.003987101305282792,70.00000000000001,352.5000000000002,0.00044240328811611106,0.01259765625,-3.3155083656311036e-08,0.8419132762472366,15.96852907538414,51
532480,238,472.85,6100.9713899692,0.71566255671205,245.5,494.1588943050165,25.0,385.00000000000085,0.006335561371088261,0.2274169921875,-12.144328849762678,13012.63142505822,15.968343204259872,52
542720,237,481.89,0.01436844558993471,1.0578161899000407,256.75,0.004038566126780552,25.0,500.0,0.0017384676164510892,0.14990234375,-1.7881393432617187e-08,0.08820777752681444,15.968717831373215,53
552960,238,493.73,0.010995353705220623,1.1558174274861812,251.25,0.0019293711345881094,25.0,500.0,-0.0007299297118152026,0.113623046875,-0.001926136761903763,0.0407744600451463,15.968717807531357,54
