epoch_idx,frames,PMM:episode_rewards,P09:episode_rewards,policy_entropy,advantage_norm,approx_kl_divergence,P01:episode_rewards,clip_fraction,value_loss,policy_loss,episode_length,explained_variance,fps,grad_norm
1,10240,203.84615384615384,450.0,1.369932223856449,15.968719220161438,0.011128520447346968,75.0,0.323828125,0.6352372846566141,0.010031360043649329,347.7692307692308,0.09370491802692413,165,21.18501946867659
2,20480,200.43859649122808,410.0,1.61512620896101,15.96871920824051,0.00293595590856099,75.0,0.18798828125,0.1503057330381125,-0.001926637316137203,354.0877192982456,0.337740159034729,157,4.544236592149406
3,30720,183.90804597701148,400.0,1.703765020519495,15.96871919631958,0.0021067309737649175,50.0,0.1315673828125,0.10579064760822803,-0.0037815848216268934,348.6551724137931,0.359652728959918,164,2.7029467849181255
4,40960,209.5,402.5000000000002,1.7049370497465133,15.968719279766082,0.001818088555956218,72.50000000000001,0.102197265625,0.11300619139801711,-0.0035162134474376215,356.39,0.6050961159169674,169,2.976878070871888
5,51200,222.0,425.0,1.7096274957060813,15.96871920824051,0.00192623724411788,75.0,0.1178466796875,0.10831470687408,-0.003978620320413029,355.51,0.5044470895081758,174,2.476632628228196
6,61440,257.25,500.0,1.707751016318798,15.968719279766082,0.001774600087356057,100.0,0.1032958984375,0.11959577568341047,-0.004393865336896852,363.56,0.6971799753606319,176,2.9292295974965645
7,71680,294.25,555.0000000000005,1.689055299013853,15.968719255924224,0.0019583708443750318,125.0,0.115380859375,0.11889388910494744,-0.005086716844016337,373.99,0.7983787499368191,178,3.0113513769981424
8,81920,313.25,577.5000000000002,1.6889196537435054,15.968719220161438,0.001841394354960698,150.0,0.1090087890625,0.13382709880825133,-0.005502270327269798,377.02,0.7852142572402954,177,3.5687478367025727
9,92160,342.25,600.0,1.703321661055088,15.968719160556793,0.0021507880551783747,175.0,0.1376708984375,0.1108053530799225,-0.005690535578105482,387.69,0.8253257371485233,180,2.6381838811015452
10,102400,351.5,600.0,1.697121161222458,15.968719232082368,0.0019391367142932916,175.0,0.115185546875,0.1320087063824758,-0.00449109297915129,388.48,0.7874437186866998,181,3.059193501364797
11,112640,322.5,575.0,1.7249640762805938,15.968719321489335,0.002127072685766747,150.0,0.1363525390625,0.13345294781029224,-0.006292195169589831,383.23,0.7470477003604173,182,2.493209544795097
12,122880,313.75,552.5000000000002,1.719225512444973,15.96871924996376,0.0021228111897701506,150.0,0.1278564453125,0.13729556314647198,-0.005019884344801539,380.92,0.6891263630241156,183,2.790234250157991
13,133120,308.5,577.5000000000002,1.7191621012985707,15.968719071149826,0.0020332714619829086,150.0,0.1253173828125,0.11002972873393446,-0.006156301658484154,383.26,0.8180695876479149,183,2.3029548252545102
14,143360,319.25,600.0,1.7157991461455822,15.96871920824051,0.002218405871781516,150.0,0.1376220703125,0.1060677930014208,-0.007355471812479664,384.87,0.8201535202562809,184,2.395934970019614
15,153600,318.75,600.0,1.714397345483303,15.968719172477723,0.0021127051122451284,150.0,0.1282958984375,0.11840390451252461,-0.0077536512246297205,388.51,0.6888444114476442,184,2.141593018395797
16,163840,356.0,650.0,1.7108921475708485,15.968719297647477,0.0022032348599626316,175.0,0.136181640625,0.13139031510800123,-0.0077372460218612105,396.65,0.740477629005909,185,2.3327124335882825
17,174080,374.5,625.0,1.707384993135929,15.968719220161438,0.0025199279563369865,197.5,0.16806640625,0.10873252977617084,-0.00858006124253734,397.98,0.8201252806931734,185,2.1230500030881947
