frames,P09:episode_rewards,P01:episode_rewards,PMM:episode_rewards,epoch_idx,policy_loss,grad_norm,advantage_norm,approx_kl_divergence,episode_length,policy_entropy,fps,clip_fraction,explained_variance,value_loss
10240,150.0,0.0,68.75,1,0.009080882098714937,20.354227373165976,15.968719190359115,0.013981733451419839,302.71875,1.6799176141619683,226,0.314013671875,0.04701391346752644,0.9406629025470465
20480,270.0000000000001,0.0,102.38095238095238,2,-0.0036390956644027027,2.333009603638074,15.968719166517257,0.0018912818913465537,315.3333333333333,1.767858086526394,199,0.116259765625,0.1556144654750824,0.10581052952911704
30720,265.0000000000002,0.0,113.42105263157895,3,-0.003519524337752955,1.8905058270104216,15.968719387054444,0.0015991340433915105,322.09473684210525,1.777045901864767,203,0.0863525390625,0.1445044245570898,0.08919625340495259
40960,275.0,0.0,136.75,4,-0.0039067431544481225,2.105193461012783,15.968719172477723,0.0015437952006438485,327.86,1.768834612518549,208,0.0875732421875,0.3488083392381668,0.10131771203596145
51200,325.0,25.0,170.0,5,-0.004436262701347005,2.627195902207608,15.968719148635865,0.0017554567112031123,334.72,1.7618341952562333,209,0.1064208984375,0.3652964185923338,0.13095859126187862
61440,375.0,72.50000000000001,206.0,6,-0.004643186416069511,2.7625139883435397,15.968719404935836,0.0016510256841686672,340.96,1.744005336612463,212,0.098193359375,0.539444088563323,0.12544622677378356
71680,400.0,75.0,231.5,7,-0.004758465789200273,2.885328685086861,15.968719339370727,0.0016465494651017904,347.7,1.7333451449871062,216,0.091943359375,0.5507669493556022,0.13032831358723343
81920,550.0,97.5,254.75,8,-0.00562587840759079,2.3723385226480844,15.968719154596329,0.0022252371734342224,351.49,1.6944074213504792,217,0.1352294921875,0.6043554712086916,0.13150408873334526
92160,552.5000000000002,122.5,270.5,9,-0.004991149266425054,2.87290548062633,15.968719255924224,0.0016256045183925538,358.8,1.6804824382066728,220,0.0921875,0.663654713332653,0.1556328461971134
102400,600.0,125.0,296.25,10,-0.0065464084203995295,2.4481610039661357,15.968719255924224,0.0021802754534181222,367.46,1.7037443734705449,221,0.142333984375,0.647365664318204,0.13598028598353268
112640,600.0,125.0,292.25,11,-0.005745766600739444,2.5532166542566417,15.968719160556793,0.002183625116163332,367.55,1.7175318904221057,222,0.137841796875,0.6651498544961214,0.13317817905917764
122880,577.5000000000002,125.0,305.25,12,-0.007040158741438063,2.208133515242337,15.968719172477723,0.0020209802442426,379.47,1.7138903133571148,223,0.1239013671875,0.7526575893163681,0.11916866779793053
