PMM:episode_rewards,fps,grad_norm,advantage_norm,P09:episode_rewards,approx_kl_divergence,epoch_idx,frames,policy_loss,explained_variance,value_loss,policy_entropy,clip_fraction,episode_length,P01:episode_rewards
7.03125,236,48382054.462408595,15.968712413311005,25.0,114450.18102115237,1,10240,0.032204958966121924,-0.15911331176757812,18452973.816520568,0.21588421655542334,0.158935546875,287.21875,0.0
4.861111111111111,229,0.08895600717407157,15.967913913726807,25.0,0.012179945375797275,2,20480,0.002473271981398284,1.5273690223693846e-08,0.0008281971603341543,0.47928046248853207,0.137646484375,287.0416666666667,0.0
4.0,241,0.04910922640309478,15.968077570199966,25.0,0.014939887458569955,3,30720,0.001598142859438667,3.7252902984619143e-10,0.0005754018804016187,0.6666265820153058,0.1722900390625,286.42,0.0
9.25,245,0.04220810934989323,15.968544149398804,50.0,0.0065227077005147295,4,40960,0.00032280316727337775,2.2351741790771484e-09,0.001547965417502306,1.1714129492640495,0.2306884765625,286.32,0.0
20.0,245,0.03960683683568285,15.968674033880234,50.0,0.005966516806057598,5,51200,-0.0002249898279842455,-2.384185791015625e-08,0.0026094058648074457,1.3186684779822826,0.3015625,287.81,0.0
29.0,245,0.03931701409529785,15.96862906217575,75.0,0.004375177906166527,6,61440,-0.00019508008990669622,-3.7252902984619143e-10,0.0021693768593110895,1.3164542347192765,0.2143310546875,289.65,0.0
34.5,246,0.039838947572464825,15.9687091588974,75.0,0.004509191460761031,7,71680,-0.0004711717163445428,-4.470348358154297e-09,0.003017005763379643,1.3761127583682538,0.2718017578125,292.01,0.0
39.25,248,0.04437397503904021,15.968713861703872,100.0,0.003462534238747139,8,81920,-0.0013835645608196502,1.862645149230957e-09,0.004677578418159101,1.3665247559547424,0.2111083984375,294.45,0.0
54.75,248,0.048903947945681495,15.968717569112778,125.0,0.004854264354742099,9,92160,-0.0012986681358597707,-1.7136335372924803e-08,0.005911846872731985,1.4256668284535408,0.2674560546875,299.04,0.0
85.0,248,0.0487066198013915,15.96871738433838,177.50000000000023,0.0030795181514122307,10,102400,-0.0011430204511270858,-3.01748514175415e-08,0.007312340604676138,1.4402213267982007,0.2101806640625,307.33,0.0
93.5,248,0.047613498683886396,15.96871674656868,177.50000000000023,0.0031442949146025965,11,112640,-0.001000204117008252,1.1175870895385742e-09,0.006109198635459734,1.417831339687109,0.2041015625,308.5,0.0
107.25,248,0.051348983084095724,15.968717581033706,227.5000000000002,0.0038451630428028238,12,122880,-0.0015688071340264286,2.6077032089233397e-09,0.007502821765189083,1.4646105334162711,0.2352783203125,311.67,0.0
94.75,249,0.04379291159716723,15.968712651729584,175.0,0.0038356522473009134,13,133120,-0.0007274393206898822,-4.470348358154297e-09,0.004607795276277216,1.3435709021985531,0.219970703125,308.19,0.0
94.25,248,0.04198788176596221,15.968717622756959,182.50000000000065,0.002362059663232685,14,143360,-0.001249911109880486,-6.332993507385254e-09,0.006302468345529633,1.2542010627686977,0.149365234375,307.31,0.0
91.75,249,0.044432385380060266,15.968716621398926,200.0,0.0027185453980507644,15,153600,-0.0008840222912112949,-7.82310962677002e-09,0.006391712257118343,1.2153813816606998,0.188623046875,306.67,0.0
98.0,249,0.04841478678620843,15.96871737241745,202.50000000000023,0.0022296411603178966,16,163840,-0.000722524290176807,-2.9802322387695314e-09,0.0076678312376316175,1.2695538334548473,0.155810546875,308.85,0.0
97.0,250,0.04132531402777575,15.968715572357178,225.0,0.003041726379854026,17,174080,-0.0006102795625338331,-1.862645149230957e-08,0.005054703210817024,1.1582839213311673,0.1838134765625,310.58,0.0
77.5,250,0.040777031618459206,15.968715441226959,152.50000000000023,0.0027721641760479086,18,184320,-0.00023933674146974225,2.2351741790771484e-09,0.004806365359013398,1.1892572492361069,0.17919921875,308.5,0.0
79.5,251,0.05072497446837184,15.968717515468597,150.0,0.003197209555412428,19,194560,-0.0007954626260470831,-8.195638656616212e-09,0.007773564470579686,1.3160009488463402,0.1994140625,308.56,0.0
87.0,252,0.04890650923779505,15.968717646598815,200.0,0.002991192841471957,20,204800,-0.001207130893089925,-1.1175870895385742e-09,0.006691982460142754,1.4172005623579025,0.2033935546875,311.03,0.0
109.75,252,0.05092409963615614,15.9687175989151,225.0,0.0024563003511275383,21,215040,-0.0008858073306328151,-1.4901161193847657e-09,0.009495218571828445,1.4275085017085076,0.154052734375,317.96,22.500000000000007
125.0,252,0.05040261822499714,15.968717408180236,250.0,0.0032381132781665657,22,225280,-0.0014429209593799896,-1.4528632164001465e-08,0.008179723255034332,1.395531813800335,0.208544921875,321.89,25.0
138.25,252,0.05190792542979792,15.968717724084854,300.0,0.0030104549367308666,23,235520,-0.0012117529597162502,-8.940696716308593e-09,0.007971456983068493,1.3707875713706017,0.1885986328125,324.26,25.0
126.75,253,0.0498598783065632,15.968717509508133,255.00000000000043,0.0038181873613069685,24,245760,-0.001677828390529612,6.332993507385254e-09,0.006874692771634727,1.402872847020626,0.244580078125,318.09,25.0
109.0,253,0.05142556263173244,15.968716877698899,227.5000000000002,0.004017913522920935,25,256000,-0.0015361651388957399,-1.080334186553955e-08,0.0061861433520221,1.4330836832523346,0.2772216796875,313.31,0.0
112.75,253,0.05042964116636486,15.968717604875565,230.0000000000004,0.002350894463387476,26,266240,-0.0005278879107208923,-1.862645149230957e-09,0.007361951564234914,1.487623866647482,0.155615234375,313.24,0.0
128.5,253,0.053076994869509286,15.96871789097786,285.00000000000085,0.0026834399525682783,27,276480,-0.0013062987018201966,-5.587935447692871e-09,0.009326810481434222,1.5103357158601285,0.17568359375,315.23,25.0
139.0,253,0.052588405810067664,15.968717944622039,285.00000000000085,0.0028173186562639786,28,286720,-0.0016012832489650463,-1.080334186553955e-08,0.008837680379292579,1.4799383081495763,0.2034912109375,322.04,25.0
155.25,254,0.053729390490188655,15.968717670440673,252.50000000000023,0.003255427095683672,29,296960,-0.0010230818596028257,1.4901161193847656e-08,0.009765513014281168,1.458603736013174,0.23203125,333.41,50.0
174.75,254,0.05303841614409142,15.968717682361603,302.5000000000002,0.0025093921874940863,30,307200,-0.0016787645261501893,1.1920928955078126e-08,0.011004344515822596,1.4016767576336862,0.181396484375,347.38,50.0
206.75,254,0.04777898463154082,15.968717783689499,335.00000000000085,0.001603709542246179,31,317440,-0.0003055797016713768,-3.725290298461914e-09,0.012572360514604952,1.2789446227252483,0.1017822265625,361.36,75.0
210.75,254,0.05102197389746308,15.96871777176857,382.5000000000007,0.0021975011164443005,32,327680,-0.0006206372705491958,-1.080334186553955e-08,0.011376628859579796,1.4232466481626034,0.1369384765625,360.13,75.0
220.5,254,0.05697395777522689,15.968717873096466,455.0000000000004,0.0023098730607785,33,337920,-0.0010432433722598945,-7.078051567077636e-09,0.011996888526482508,1.4718513391911983,0.165380859375,360.54,72.50000000000001
237.25,254,0.04952211085257691,15.968717783689499,502.5000000000002,0.0021496775233799783,34,348160,-0.0011790751334046945,-1.3783574104309083e-08,0.014134680028655566,1.4052054777741432,0.12998046875,356.62,75.0
220.0,254,0.05009175216173871,15.96871783733368,407.5000000000006,0.0027525693561528896,35,358400,-0.0010752658687124494,-4.097819328308106e-09,0.012710008991416544,1.3190731041133403,0.16513671875,351.33,75.0
228.0,253,0.05548263159964637,15.968717813491821,475.0,0.0022601860366080473,36,368640,-0.0006439830031013116,1.7136335372924803e-08,0.012792792061736691,1.397897344082594,0.163623046875,352.68,97.5
212.75,253,0.054071761279400034,15.968717831373215,325.0,0.00272624176412819,37,378880,-0.0010540794508415274,-1.6763806343078613e-08,0.010768982553418027,1.4691258780658245,0.20009765625,352.14,75.0
221.0,254,0.05952488706454574,15.968717914819717,477.5000000000002,0.0029048246178831503,38,389120,-0.0013095136160700348,-1.899898052215576e-08,0.01340653965016827,1.4608896985650062,0.209912109375,354.09,72.50000000000001
231.25,254,0.06003348533176498,15.968717807531357,410.00000000000085,0.00197086175419372,39,399360,-0.000984423425688874,2.2724270820617674e-08,0.015289096257765778,1.464834064990282,0.140576171875,350.16,50.0
241.5,254,0.05560874453040356,15.96871811747551,410.00000000000085,0.0022164993019487154,40,409600,-0.0003285486964159645,5.587935447692871e-09,0.013427655449777375,1.5005898252129555,0.14052734375,354.29,97.5
243.25,254,0.05756086994867089,15.968717789649963,400.0,0.002012562034599341,41,419840,-0.0011130890121421543,-5.587935447692871e-09,0.013480298477225006,1.5246684908866883,0.1508544921875,355.36,100.0
229.75,254,0.05596398187590307,15.96871766448021,377.5000000000002,0.0021055163744676973,42,430080,-0.0012412325988407247,-1.7881393432617187e-08,0.013252806951641105,1.560516194999218,0.15166015625,350.29,100.0
248.25,254,0.05685859749871645,15.96871789097786,480.00000000000045,0.002615696304553694,43,440320,-0.0012027208606014029,1.1548399925231934e-08,0.014163953758543357,1.5321085289120675,0.1727783203125,353.11,75.0
248.5,254,0.05852869314214446,15.968717789649963,480.00000000000045,0.0024726789209012167,44,450560,-0.0016640282614389435,-1.30385160446167e-08,0.013588885836361442,1.5433923840522765,0.1790283203125,349.26,75.0
250.0,254,0.05737676669493985,15.968717914819717,435.00000000000085,0.002146490072072993,45,460800,-0.001532552350545302,0.0,0.01446609531994909,1.543826487660408,0.16591796875,351.75,75.0
219.5,254,0.05936470998268515,15.96871783733368,400.0,0.002499520908907016,46,471040,-0.0019768630958424183,-5.587935447692871e-09,0.011870527161954669,1.5510698795318603,0.2024169921875,340.92,50.0
211.5,254,0.06081528345280666,15.968717831373215,402.5000000000002,0.0027848859467667353,47,481280,-0.0016892843847017502,8.568167686462402e-09,0.0116434861702146,1.5803477600216866,0.2305908203125,339.09,50.0
186.5,253,0.05531350897163626,15.968717920780183,427.5000000000002,0.002534320268364354,48,491520,-0.0008814586395601509,1.4901161193847657e-09,0.008645916813838994,1.5773901477456094,0.1962646484375,332.66,50.0
177.0,254,0.05633800230192979,15.968717658519745,405.00000000000045,0.0023304762512054824,49,501760,-0.0011722513765562326,-2.0489096641540527e-08,0.010181899685403551,1.55419280230999,0.1846923828125,334.64,50.0
189.5,253,0.059785670507396235,15.968718022108078,400.0,0.0022428687052524765,50,512000,-0.0010673894736100919,-1.601874828338623e-08,0.014975782608962618,1.5844229966402055,0.1740234375,340.27,50.0
191.75,253,0.055816916041231776,15.968717712163926,355.00000000000045,0.0027174853363305827,51,522240,-0.0017880268300359604,7.450580596923828e-09,0.010966702589576017,1.554242017865181,0.2048828125,337.55,50.0
199.25,253,0.056364345369941504,15.968717193603515,430.0000000000004,0.0033879081664167643,52,532480,-0.002397256434414885,-5.960464477539063e-09,0.008299391333184757,1.482761700451374,0.28037109375,338.02,47.50000000000001
150.25,253,0.049503934794685005,15.968717700242996,325.0,0.0031768456951567713,53,542720,-0.0016345308220479637,-4.470348358154297e-09,0.006725906661813497,1.4543340854346751,0.224365234375,322.27,22.500000000000007
119.0,253,0.049031250223229086,15.968717676401138,250.0,0.0019542139709699314,54,552960,-0.0008849698599078693,4.470348358154297e-09,0.007349311473262787,1.344286499172449,0.1412109375,318.87,0.0
127.25,253,0.053065829490244,15.968717795610427,277.5000000000002,0.0020816456755085254,55,563200,-0.0012499608808866469,-1.1548399925231934e-08,0.011212387178238714,1.3455990739166737,0.168408203125,322.38,25.0
135.75,253,0.04832686006634448,15.968717479705811,300.0,0.0027567254213863635,56,573440,-0.0017923084647918585,-2.2351741790771484e-09,0.00854744363878126,1.2941999129951,0.2044921875,322.19,25.0
142.75,253,0.042646243983450606,15.968712002038956,305.00000000000045,0.0022782603404834846,57,583680,-0.0015594724702168606,1.1175870895385742e-09,0.006206665789638244,1.2294463761150838,0.1836669921875,321.37,25.0
92.75,253,0.026933773696332597,15.968681424856186,225.0,0.002265156038238558,58,593920,-0.0012786763996700755,-1.0058283805847169e-08,0.0031808385871260115,1.0044806089252234,0.1338134765625,308.07,0.0
57.5,253,0.034605208752618424,15.968693417310714,125.0,0.0024519880316219655,59,604160,-0.00048027818993432445,-1.1175870895385742e-08,0.0028632160553966556,1.0372893493622541,0.14501953125,296.47,0.0
39.25,253,0.041141852884233436,15.968716716766357,100.0,0.003098786387107566,60,614400,-0.001026243139494909,-1.1175870895385742e-08,0.004247467992274778,1.1739356249570847,0.19931640625,290.99,0.0
57.75,253,0.05085105301082978,15.96871721148491,150.0,0.0027533150090988555,61,624640,-0.0012902957198093646,3.725290298461914e-09,0.006933155265232927,1.3359949253499508,0.19501953125,295.18,0.0
73.0,252,0.043730110885100384,15.968716949224472,175.0,0.0027534956240401697,62,634880,-0.0008775726135354489,-1.1175870895385742e-09,0.005726611466906206,1.291645035892725,0.1732421875,299.59,0.0
72.0,252,0.035419628417893964,15.968702679872512,175.0,0.001828149374171062,63,645120,-0.0002787687182717491,1.1175870895385742e-09,0.003544799261760545,1.1241944260895251,0.1057861328125,299.58,0.0
56.0,253,0.040022326849356485,15.968716430664063,125.0,0.003203978994662293,64,655360,-0.0011785073311330052,3.3527612686157227e-09,0.004263843872763573,1.19207611232996,0.229248046875,293.97,0.0
57.75,253,0.04233774904296127,15.968707555532456,100.0,0.00331256790802712,65,665600,-0.000468983515202126,-1.1920928955078126e-08,0.004097436030197343,1.2845682613551617,0.206689453125,292.98,0.0
59.25,252,0.045959401294789946,15.968697381019592,100.0,0.00396116449735473,66,675840,-0.0003337872556585353,-3.725290298461914e-09,0.004314342230279067,1.4414209045469761,0.25029296875,293.96,0.0
67.75,252,0.05501772462025797,15.968717283010482,150.0,0.0033607729393452246,67,686080,-0.0009675925542978802,1.1548399925231934e-08,0.00648009560400169,1.5723245210945607,0.2561279296875,297.64,0.0
79.5,252,0.05285460412830369,15.968715876340866,175.0,0.00326110628080869,68,696320,-0.0012424159729562234,-1.7136335372924803e-08,0.006000612595892107,1.511662295460701,0.2684326171875,300.41,0.0
70.25,252,0.04758979236744311,15.968715012073517,127.50000000000021,0.004050185168296139,69,706560,-0.0007247073528560577,1.1920928955078126e-08,0.0035879050480311036,1.4801303185522556,0.2829345703125,297.8,0.0
67.5,252,0.05367811884631875,15.968708819150924,150.0,0.004201159368699336,70,716800,-0.0010788172563479747,-4.8428773880004884e-09,0.005391200069512081,1.5912444151937961,0.2540283203125,294.16,0.0
